Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	15/482	1.677080e-08	6.811527e-07	0	0	7.343368e+00	1.314729e+02	APP;RPL5;NPM1;RPS7;RPL23;RPL11;CIRBP;ACTB;ACTG1;RPS4X;RPS3;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	10/180	2.333678e-08	9.127275e-07	0	0	1.289542e+01	2.266143e+02	RPS4X;RPL5;ZEB2;NPM1;HSP90AB1;CIRBP;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	positive regulation of cellular protein metabolic process (GO:0032270)	8/102	4.378261e-08	1.651230e-06	0	0	1.832192e+01	3.104472e+02	RPS4X;RPL5;NPM1;CIRBP;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	negative regulation of ubiquitin protein ligase activity (GO:1904667)	4/9	7.271157e-08	2.647704e-06	0	0	1.657917e+02	2.725079e+03	RPL5;RPS7;RPL23;RPL11
GO_Biological_Process_2021	negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	5/26	1.709460e-07	6.017298e-06	0	0	4.982206e+01	7.763232e+02	RPL5;HSP90AB1;RPS7;RPL23;RPL11
GO_Biological_Process_2021	positive regulation of macromolecule biosynthetic process (GO:0010557)	8/129	2.724682e-07	9.281498e-06	0	0	1.421416e+01	2.148576e+02	RPS4X;RPL5;NPM1;CIRBP;EIF3E;RPL26;VIM;SOX4
GO_Biological_Process_2021	negative regulation of ubiquitin-protein transferase activity (GO:0051444)	4/15	7.697717e-07	2.540247e-05	0	0	7.533712e+01	1.060534e+03	RPL5;RPS7;RPL23;RPL11
GO_Biological_Process_2021	maturation of SSU-rRNA (GO:0030490)	5/35	8.141182e-07	2.605178e-05	0	0	3.485965e+01	4.887727e+02	RPS14;RPS28;RPS16;RPS19;RPS8
GO_Biological_Process_2021	negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	5/38	1.243927e-06	3.863491e-05	0	0	3.168581e+01	4.308394e+02	RPL5;HSP90AB1;RPS7;RPL23;RPL11
GO_Biological_Process_2021	regulation of ubiquitin protein ligase activity (GO:1904666)	4/21	3.298301e-06	9.951445e-05	0	0	4.873284e+01	6.151110e+02	RPL5;RPS7;RPL23;RPL11
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	10/351	1.041248e-05	3.054328e-04	0	0	6.373086e+00	7.311526e+01	COL1A1;APP;MARCKS;COL3A1;MARCKSL1;COL1A2;HSP90AB1;LUM;VIM;RPS27A
GO_Biological_Process_2021	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	4/30	1.459016e-05	4.164112e-04	0	0	3.184936e+01	3.546478e+02	RPS14;RPS16;RPS19;RPS8
GO_Biological_Process_2021	regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	4/42	5.691212e-05	1.581558e-03	0	0	2.177851e+01	2.128632e+02	RPL5;RPS7;RPL23;RPL11
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	12/625	6.675170e-05	1.807431e-03	0	0	4.290449e+00	4.125066e+01	RPS4X;PDGFRA;RPS9;SFRP1;NPM1;RPS15A;HSP90AB1;RPS19;MDK;RPL23;RPS6;SOX4
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	10/474	1.310201e-04	3.458931e-03	0	0	4.654215e+00	4.160942e+01	RPS4X;PDGFRA;RPS9;SFRP1;NPM1;RPS15A;MDK;RPL23;RPS6;SOX4
GO_Biological_Process_2021	purinergic nucleotide receptor signaling pathway (GO:0035590)	3/21	1.510879e-04	3.891435e-03	0	0	3.416151e+01	3.005410e+02	APP;HSP90AB1;TXNIP
GO_Biological_Process_2021	negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	4/55	1.649977e-04	4.148515e-03	0	0	1.621650e+01	1.412389e+02	RPL5;RPL11;RPS3;SOX4
GO_Biological_Process_2021	positive regulation of signal transduction by p53 class mediator (GO:1901798)	3/22	1.743100e-04	4.280729e-03	0	0	3.236191e+01	2.800818e+02	RPS7;RPL23;RPL37
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	2/5	2.450872e-04	5.882092e-03	0	0	1.353537e+02	1.125317e+03	RPS7;RPL26
GO_Biological_Process_2021	protein stabilization (GO:0050821)	6/179	2.809144e-04	6.592124e-03	0	0	7.278441e+00	5.951916e+01	RPL5;HSP90AB1;RPS7;RPL23;RPL11;SOX4
GO_Biological_Process_2021	glial cell development (GO:0021782)	3/26	2.900494e-04	6.658525e-03	0	0	2.672837e+01	2.177149e+02	APP;MDK;SOX4
GO_Biological_Process_2021	positive regulation of canonical Wnt signaling pathway (GO:0090263)	5/130	4.935579e-04	1.101974e-02	0	0	8.326316e+00	6.339549e+01	COL1A1;SFRP1;ZEB2;GPC3;SOX4
GO_Biological_Process_2021	regulation of bone remodeling (GO:0046850)	2/7	5.113328e-04	1.101974e-02	0	0	8.120408e+01	6.154043e+02	SFRP1;MDK
GO_Biological_Process_2021	skin morphogenesis (GO:0043589)	2/7	5.113328e-04	1.101974e-02	0	0	8.120408e+01	6.154043e+02	COL1A1;COL1A2
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition (GO:0010717)	4/76	5.728566e-04	1.209873e-02	0	0	1.147454e+01	8.565599e+01	COL1A1;SFRP1;MDK;SPRY1
GO_Biological_Process_2021	regulation of endodeoxyribonuclease activity (GO:0032071)	2/8	6.795552e-04	1.407079e-02	0	0	6.766667e+01	4.935655e+02	NPM1;RPS3
GO_Biological_Process_2021	skin development (GO:0043588)	4/80	6.954983e-04	1.412397e-02	0	0	1.086842e+01	7.902301e+01	COL1A1;COL3A1;COL1A2;TXNIP
