id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EP	CM|FB_H	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EP	EN_H|FB_H	EN_H|UN	EP|CM	EP|EN_H	EP|EP	EP|FB_H	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EP	FB_H|FB_H	FB_H|UN	UN|CM	UN|EN_H	UN|EP	UN|FB_H	UN|UN
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.682	1.334	0.554	0.606	0.598	0.477	1.129	0.349	0.401	0.393	0.845	1.496	0.717	0.769	0.761	0.852	1.504	0.724	0.776	0.769	0.745	1.396	0.617	0.669	0.661
CPI-SS040DBE4BA	WNT2B_CER1	simple:Q93097	simple:O95813	WNT2B	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.008	0.0	0.0	0.01	0.009	0.022	0.0	0.0	0.024	0.023	0.016	0.0	0.0	0.018	0.017	0.029	0.0	0.0	0.031	0.03	0.025	0.0	0.0	0.027	0.026
CPI-SS0568E47E6	WNT4_CER1	simple:P56705	simple:O95813	WNT4	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.004	0.004
CPI-SS00C692486	WNT9A_CER1	simple:O14904	simple:O95813	WNT9A	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.005	0.004
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.131	0.019	0.041	0.05	0.043	0.145	0.033	0.055	0.064	0.057	0.139	0.027	0.049	0.057	0.05	0.152	0.04	0.062	0.071	0.064	0.148	0.036	0.058	0.066	0.059
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.124	0.012	0.034	0.043	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.013	0.035	0.044	0.037
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.124	0.012	0.034	0.043	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.014	0.036	0.044	0.038
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.793	0.414	0.087	0.582	0.246	0.807	0.429	0.101	0.596	0.261	0.8	0.422	0.094	0.59	0.254	0.814	0.435	0.108	0.603	0.268	0.809	0.431	0.103	0.599	0.263
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.786	0.407	0.08	0.575	0.239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.787	0.409	0.081	0.576	0.241
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.786	0.408	0.08	0.575	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.788	0.409	0.081	0.577	0.241
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.002	0.775	0.0	0.037	0.009	0.775	1.548	0.0	0.81	0.782	0.0	0.0	0.0	0.0	0.0	0.037	0.81	0.0	0.073	0.044	0.009	0.782	0.0	0.044	0.016
