id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PR	CF|VSMC	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PR	CM|VSMC	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PR	EC|VSMC	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PR	MP|VSMC	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PR	OTH|VSMC	PR|CF	PR|CM	PR|EC	PR|MP	PR|OTH	PR|PR	PR|VSMC	VSMC|CF	VSMC|CM	VSMC|EC	VSMC|MP	VSMC|OTH	VSMC|PR	VSMC|VSMC
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.848	0.847	0.0	0.851	0.0	0.847	0.0	0.488	0.487	0.0	0.491	0.0	0.488	0.0	0.101	0.1	0.0	0.104	0.0	0.101	0.0	1.238	1.238	0.0	1.241	0.0	1.238	0.0	0.671	0.67	0.0	0.674	0.0	0.671	0.0	0.658	0.657	0.0	0.661	0.0	0.658	0.0	0.573	0.573	0.0	0.576	0.0	0.573	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.467	0.466	0.0	0.47	0.0	0.467	0.0	0.244	0.243	0.0	0.247	0.0	0.244	0.0	0.024	0.024	0.0	0.027	0.0	0.024	0.0	0.631	0.63	0.0	0.634	0.0	0.63	0.0	0.027	0.026	0.0	0.03	0.0	0.026	0.0	0.132	0.131	0.0	0.135	0.0	0.132	0.0	0.235	0.234	0.0	0.238	0.0	0.235	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.15	0.115	0.638	0.08	0.015	0.611	0.799	0.152	0.117	0.64	0.082	0.017	0.613	0.801	0.146	0.111	0.634	0.077	0.012	0.608	0.796	0.22	0.185	0.708	0.15	0.085	0.681	0.869	0.145	0.11	0.633	0.075	0.01	0.606	0.794	0.161	0.126	0.649	0.091	0.026	0.622	0.81	0.159	0.124	0.647	0.09	0.025	0.621	0.809
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.854	0.728	0.723	0.796	0.713	1.042	1.113	0.174	0.048	0.043	0.115	0.033	0.361	0.433	0.212	0.086	0.081	0.154	0.071	0.4	0.471	0.607	0.481	0.476	0.548	0.466	0.794	0.866	1.467	1.341	1.336	1.409	1.326	1.655	1.726	0.289	0.164	0.159	0.231	0.149	0.477	0.549	0.313	0.187	0.183	0.255	0.173	0.501	0.573
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.411	0.285	0.28	0.353	0.27	0.598	0.67	0.248	0.122	0.117	0.19	0.107	0.436	0.507	0.314	0.188	0.184	0.256	0.174	0.502	0.574	0.258	0.132	0.127	0.2	0.117	0.446	0.517	0.207	0.082	0.077	0.149	0.067	0.395	0.467	0.386	0.26	0.256	0.328	0.245	0.574	0.646	0.581	0.455	0.451	0.523	0.441	0.769	0.841
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.0	0.0	0.194	0.21	0.0	0.0	0.0	0.0	0.0	0.003	0.019	0.0	0.0	0.0	0.0	0.0	0.004	0.02	0.0	0.0	0.0	0.0	0.0	0.039	0.055	0.0	0.0	0.0	0.0	0.0	0.004	0.02	0.0	0.0	0.0	0.0	0.0	0.003	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.368	0.097	1.559	0.159	0.087	0.512	0.478	0.319	0.049	1.51	0.111	0.038	0.463	0.429	0.605	0.335	1.796	0.397	0.324	0.749	0.715	0.373	0.103	1.564	0.165	0.092	0.518	0.484	0.314	0.043	1.505	0.105	0.033	0.458	0.424	0.551	0.281	1.742	0.343	0.27	0.695	0.661	0.488	0.217	1.679	0.28	0.207	0.632	0.598
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.537	0.266	1.728	0.328	0.256	0.681	0.647	0.609	0.338	1.8	0.4	0.328	0.753	0.719	0.366	0.096	1.557	0.158	0.085	0.511	0.476	0.451	0.18	1.642	0.242	0.17	0.595	0.561	0.751	0.481	1.942	0.543	0.47	0.896	0.861	0.432	0.162	1.623	0.224	0.151	0.576	0.542	0.36	0.09	1.551	0.152	0.079	0.505	0.471
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.144	0.097	0.988	0.096	0.072	0.065	0.064	0.096	0.049	0.939	0.047	0.023	0.017	0.016	0.382	0.335	1.225	0.333	0.31	0.303	0.302	0.15	0.103	0.993	0.102	0.078	0.071	0.07	0.091	0.043	0.934	0.042	0.018	0.012	0.011	0.328	0.281	1.171	0.279	0.255	0.249	0.248	0.265	0.217	1.108	0.216	0.192	0.186	0.185
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.313	0.266	1.157	0.265	0.241	0.235	0.233	0.385	0.338	1.229	0.337	0.313	0.307	0.306	0.143	0.096	0.986	0.095	0.071	0.064	0.063	0.227	0.18	1.071	0.179	0.155	0.149	0.147	0.528	0.481	1.371	0.48	0.456	0.449	0.448	0.209	0.162	1.052	0.16	0.136	0.13	0.129	0.137	0.09	0.98	0.089	0.065	0.058	0.057
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.18	0.261	0.71	0.496	0.08	0.106	0.164	0.131	0.213	0.661	0.447	0.031	0.058	0.116	0.417	0.499	0.947	0.733	0.317	0.344	0.402	0.185	0.267	0.716	0.501	0.085	0.112	0.17	0.126	0.207	0.656	0.442	0.026	0.052	0.11	0.363	0.445	0.893	0.679	0.263	0.29	0.348	0.3	0.381	0.83	0.616	0.2	0.226	0.284
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.349	0.43	0.879	0.665	0.249	0.275	0.333	0.421	0.502	0.951	0.737	0.321	0.347	0.405	0.178	0.26	0.709	0.494	0.078	0.105	0.163	0.263	0.344	0.793	0.579	0.163	0.189	0.247	0.563	0.645	1.094	0.879	0.463	0.49	0.548	0.244	0.326	0.774	0.56	0.144	0.171	0.229	0.172	0.254	0.703	0.488	0.072	0.099	0.157
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.429	0.212	0.218	0.711	0.21	0.476	0.265	0.264	0.048	0.054	0.547	0.046	0.312	0.101	0.526	0.309	0.316	0.809	0.308	0.573	0.363	0.271	0.055	0.061	0.554	0.053	0.319	0.108	0.247	0.03	0.037	0.529	0.029	0.294	0.083	0.747	0.53	0.537	1.029	0.529	0.794	0.583	0.755	0.539	0.545	1.038	0.537	0.802	0.592
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.04	0.051	0.03	0.2	0.028	0.128	0.09	0.015	0.026	0.005	0.175	0.003	0.103	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.031	0.01	0.18	0.008	0.108	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.007	0.005	0.006	0.012	0.0	0.025	0.0	0.003	0.001	0.002	0.008	0.0	0.022	0.0	0.003	0.001	0.002	0.008	0.0	0.022	0.0	0.041	0.039	0.039	0.046	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.01	0.011	0.018	0.0	0.031	0.0	0.006	0.004	0.005	0.012	0.0	0.025	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.01	0.005	0.011	0.039	0.008	0.075	0.048	0.006	0.001	0.007	0.035	0.005	0.072	0.044	0.006	0.001	0.007	0.035	0.005	0.072	0.044	0.044	0.039	0.045	0.073	0.042	0.109	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.011	0.016	0.045	0.014	0.081	0.053	0.009	0.004	0.01	0.038	0.008	0.075	0.047
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.055	0.017	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.057	0.019	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.056	0.017	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.0	0.046	0.0	0.101	0.062	0.047	0.0	0.0	0.407	0.0	0.461	0.423	0.408	0.0	0.0	0.009	0.0	0.063	0.025	0.01	0.0	0.0	0.111	0.0	0.166	0.127	0.112	0.0	0.0	0.015	0.0	0.069	0.031	0.016	0.0	0.0	0.011	0.0	0.065	0.027	0.012	0.0	0.0	0.044	0.0	0.099	0.06	0.045	0.0
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.016	0.002	0.0	0.004	0.0	0.005	0.0	0.016	0.001	0.0	0.003	0.0	0.004	0.0	0.016	0.002	0.0	0.003	0.0	0.004	0.0	0.027	0.013	0.0	0.015	0.0	0.016	0.0	0.764	0.75	0.0	0.751	0.0	0.752	0.0	0.029	0.015	0.0	0.016	0.0	0.017	0.0	0.042	0.028	0.0	0.029	0.0	0.03	0.0
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.019	0.005	0.0	0.007	0.0	0.008	0.0	0.018	0.003	0.0	0.005	0.0	0.006	0.0	0.023	0.009	0.0	0.011	0.0	0.012	0.0	0.324	0.309	0.0	0.311	0.0	0.312	0.0	0.028	0.014	0.0	0.015	0.0	0.016	0.0	0.182	0.168	0.0	0.169	0.0	0.17	0.0	0.049	0.035	0.0	0.036	0.0	0.037	0.0
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.031	0.017	0.0	0.018	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.001	0.0	0.002	0.0	0.003	0.0	0.018	0.004	0.0	0.005	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.165	0.046	0.704	0.067	0.032	0.218	0.158	0.165	0.046	0.704	0.067	0.032	0.218	0.158	0.164	0.045	0.703	0.066	0.031	0.217	0.157	0.172	0.053	0.711	0.074	0.039	0.225	0.165	0.169	0.05	0.708	0.071	0.036	0.222	0.161	0.187	0.068	0.727	0.089	0.055	0.24	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.54	0.299	0.399	0.456	0.276	0.529	0.541	0.357	0.116	0.216	0.274	0.093	0.346	0.358	0.279	0.038	0.138	0.196	0.015	0.268	0.28	0.506	0.266	0.365	0.423	0.242	0.495	0.507	0.756	0.515	0.614	0.672	0.492	0.744	0.756	0.472	0.231	0.331	0.388	0.208	0.461	0.473	0.802	0.561	0.661	0.719	0.538	0.791	0.803
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.15	0.15	0.15	0.163	0.0	0.152	0.0	0.005	0.005	0.005	0.018	0.0	0.007	0.0	0.01	0.009	0.01	0.023	0.0	0.011	0.0	0.379	0.379	0.379	0.392	0.0	0.38	0.0	0.013	0.012	0.012	0.026	0.0	0.014	0.0	0.046	0.045	0.046	0.059	0.0	0.047	0.0	0.047	0.047	0.047	0.06	0.0	0.049	0.0
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.028	0.024	0.029	0.021	0.027	0.02	0.038	0.01	0.007	0.011	0.004	0.01	0.003	0.021	0.213	0.21	0.215	0.207	0.213	0.206	0.224	0.013	0.01	0.014	0.007	0.013	0.006	0.024	0.076	0.072	0.077	0.07	0.076	0.069	0.087	0.01	0.006	0.011	0.003	0.009	0.002	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.313	0.337	1.157	0.265	0.241	0.235	0.233	0.385	0.409	1.229	0.337	0.313	0.307	0.306	0.143	0.167	0.986	0.095	0.071	0.064	0.063	0.227	0.251	1.071	0.179	0.155	0.149	0.147	0.528	0.552	1.371	0.48	0.456	0.449	0.448	0.209	0.233	1.052	0.16	0.136	0.13	0.129	0.137	0.161	0.98	0.089	0.065	0.058	0.057
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.061	0.133	0.045	0.118	0.037	0.35	0.143	0.038	0.11	0.022	0.095	0.014	0.327	0.12	0.055	0.128	0.04	0.113	0.032	0.345	0.138	0.043	0.115	0.027	0.1	0.019	0.333	0.125	0.033	0.105	0.017	0.09	0.009	0.322	0.115	0.042	0.114	0.026	0.099	0.018	0.332	0.124	0.047	0.119	0.031	0.104	0.023	0.336	0.129
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.031	0.103	0.015	0.088	0.007	0.32	0.113	0.03	0.102	0.014	0.087	0.006	0.319	0.112	0.03	0.102	0.014	0.087	0.006	0.319	0.112	0.033	0.105	0.017	0.09	0.009	0.322	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.103	0.175	0.087	0.16	0.079	0.392	0.185	0.04	0.112	0.024	0.097	0.016	0.329	0.122	0.079	0.151	0.063	0.136	0.055	0.368	0.161	0.108	0.18	0.092	0.165	0.084	0.397	0.19	0.053	0.125	0.037	0.11	0.029	0.342	0.135	0.097	0.169	0.081	0.154	0.073	0.386	0.179	0.085	0.157	0.069	0.142	0.061	0.374	0.167
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.102	0.014	0.087	0.006	0.32	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.605	0.878	0.273	1.288	0.066	0.366	0.349	0.581	0.855	0.25	1.265	0.043	0.342	0.326	0.599	0.873	0.268	1.283	0.061	0.36	0.344	0.587	0.861	0.256	1.27	0.048	0.348	0.332	0.577	0.85	0.245	1.26	0.038	0.338	0.321	0.586	0.86	0.255	1.269	0.047	0.347	0.331	0.591	0.864	0.259	1.274	0.052	0.352	0.336
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.575	0.848	0.243	1.258	0.036	0.336	0.32	0.573	0.847	0.242	1.257	0.035	0.334	0.318	0.573	0.847	0.242	1.257	0.035	0.334	0.318	0.577	0.85	0.246	1.26	0.038	0.338	0.322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.647	0.92	0.315	1.33	0.108	0.408	0.392	0.583	0.857	0.252	1.267	0.045	0.344	0.328	0.623	0.896	0.291	1.306	0.084	0.383	0.367	0.651	0.925	0.32	1.335	0.113	0.412	0.396	0.596	0.87	0.265	1.28	0.058	0.357	0.341	0.641	0.914	0.309	1.324	0.102	0.401	0.385	0.629	0.902	0.297	1.312	0.09	0.39	0.374
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.574	0.848	0.243	1.257	0.035	0.335	0.319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.034	0.034	0.032	0.096	0.0	0.033	0.0	0.011	0.01	0.009	0.072	0.0	0.01	0.0	0.029	0.028	0.027	0.09	0.0	0.028	0.0	0.016	0.016	0.014	0.078	0.0	0.015	0.0	0.006	0.006	0.004	0.068	0.0	0.005	0.0	0.015	0.015	0.014	0.077	0.0	0.014	0.0	0.02	0.02	0.018	0.082	0.0	0.019	0.0
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.004	0.004	0.002	0.066	0.0	0.003	0.0	0.003	0.003	0.001	0.064	0.0	0.002	0.0	0.003	0.003	0.001	0.064	0.0	0.002	0.0	0.006	0.006	0.004	0.068	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.076	0.076	0.074	0.138	0.0	0.075	0.0	0.013	0.012	0.011	0.074	0.0	0.012	0.0	0.052	0.052	0.05	0.114	0.0	0.051	0.0	0.081	0.081	0.079	0.142	0.0	0.08	0.0	0.026	0.025	0.024	0.087	0.0	0.025	0.0	0.07	0.07	0.068	0.132	0.0	0.069	0.0	0.058	0.058	0.056	0.12	0.0	0.057	0.0
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.001	0.065	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS010F961E8	WNT2B_WIF1	simple:Q93097	simple:Q9Y5W5	WNT2B	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.032	0.0	0.032	0.0	0.0	0.0	0.0	0.008	0.0	0.009	0.0	0.0	0.0	0.0	0.026	0.0	0.027	0.0	0.0	0.0	0.0	0.014	0.0	0.014	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.013	0.0	0.013	0.0	0.0	0.0	0.0	0.018	0.0	0.018	0.0	0.0	0.0
CPI-SS068E97BDA	WNT4_WIF1	simple:P56705	simple:Q9Y5W5	WNT4	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03C93A8FE	WNT5A_WIF1	simple:P41221	simple:Q9Y5W5	WNT5A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.074	0.0	0.074	0.0	0.0	0.0	0.0	0.01	0.0	0.011	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.078	0.0	0.079	0.0	0.0	0.0	0.0	0.023	0.0	0.024	0.0	0.0	0.0	0.0	0.068	0.0	0.068	0.0	0.0	0.0	0.0	0.056	0.0	0.056	0.0	0.0	0.0
CPI-SS04662DF1A	WNT9A_WIF1	simple:O14904	simple:Q9Y5W5	WNT9A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0BDF87EA3	GDNF_RET_receptor_1	simple:P39905	complex:RET_receptor_1	GDNF		True	False	True	curated	False	Ligand-Receptor		0.002	0.002	0.002	0.003	0.0	0.013	0.007	0.001	0.001	0.001	0.002	0.0	0.012	0.007	0.001	0.001	0.002	0.002	0.0	0.013	0.007	0.012	0.012	0.013	0.013	0.0	0.024	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.011	0.0	0.021	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.21	0.115	0.982	0.118	0.115	0.289	0.241	0.115	0.019	0.887	0.023	0.02	0.194	0.146	0.982	0.887	1.754	0.89	0.887	1.061	1.013	0.118	0.023	0.89	0.027	0.024	0.198	0.149	0.115	0.02	0.887	0.024	0.021	0.195	0.146	0.289	0.194	1.061	0.198	0.195	0.369	0.32	0.241	0.146	1.013	0.149	0.146	0.32	0.272
CPI-SS00577086D	FTL_SCARA5	simple:P02792	simple:Q6ZMJ2	FTL	SCARA5	False	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	2.027	0.0	0.0	0.0	0.0	0.0	0.0	1.512	0.0	0.0	0.0	0.0	0.0	0.0	1.897	0.0	0.0	0.0	0.0	0.0	0.0	1.765	0.0	0.0	0.0	0.0	0.0	0.0	2.707	0.0	0.0	0.0	0.0	0.0	0.0	1.763	0.0	0.0	0.0	0.0	0.0	0.0	1.896	0.0	0.0	0.0
