id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|OTH	CM|CF	CM|CM	CM|EC	CM|OTH	EC|CF	EC|CM	EC|EC	EC|OTH	OTH|CF	OTH|CM	OTH|EC	OTH|OTH
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.103	0.107	0.0	0.104	0.021	0.025	0.0	0.022	0.046	0.049	0.0	0.046	0.01	0.014	0.0	0.011
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.064	0.056	0.062	0.241	0.022	0.015	0.021	0.2	0.01	0.002	0.008	0.187	0.856	0.848	0.854	1.033
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.108	0.014	0.0	0.0	0.098	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.038	0.213	0.077	0.02	0.04	0.215	0.079	0.022	0.0	0.0	0.0	0.0	0.039	0.214	0.078	0.021
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.037	0.213	0.076	0.02	0.037	0.212	0.076	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.041	0.216	0.08	0.024	0.042	0.218	0.081	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.044	0.219	0.083	0.026	0.038	0.214	0.077	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.175	0.174	0.0	0.177	0.117	0.116	0.0	0.119	0.021	0.02	0.0	0.023	0.014	0.013	0.0	0.015
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.017	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.012	0.008	0.0	0.0	0.005	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.01	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.027	0.023	0.0	0.0	0.005	0.001	0.0	0.0	0.017	0.013	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.247	0.149	0.424	0.151	0.206	0.108	0.382	0.11	0.0	0.0	0.0	0.0	0.129	0.031	0.306	0.033
