gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	UN
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.001	0.0	0.0	0.006	0.005
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.009	0.0	0.0	0.013	0.058
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.005	0.007	0.0	0.016	0.004
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.197	0.027	0.005	0.272	0.041
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	CCL25	0.0	0.0	0.0	0.0	0.003
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.0	0.0	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.0	0.0	0.0	0.022	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.0	0.0	0.0	0.014	0.005
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.0	0.062	0.0	0.006	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.168	0.0	0.099	0.134	0.05
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.009	0.0	0.11	0.023	0.003
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.042	0.0	0.0	0.012	0.017
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.002	0.0	0.0	0.027	0.0
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.028	0.012	0.004	0.107	0.018
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.086	0.354	0.066	0.097	0.04
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.028	0.012	0.004	0.107	0.018
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.086	0.354	0.066	0.097	0.04
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.18	0.22	0.554	0.1	0.104
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.02	0.0	0.06	0.056	0.021
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.0	0.016	0.0	0.0	0.0
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.011	0.042	0.149	0.042	0.005
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.002	0.0	0.0	0.0	0.002
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.052	0.017	0.0	0.22	0.033
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.008	0.0	0.0	0.005	0.004
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.961	0.11	1.168	2.194	0.373
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.468	0.019	0.048	1.396	0.15
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.011	0.0	0.0	0.003	0.012
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.056	0.809	2.104	2.372	0.216
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.166	0.473	0.101	0.358	0.12
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.021	0.247	0.027	0.104	0.016
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	1.041	0.622	1.366	1.376	1.166
