gene	mean	True_mean	True_positive_frac	False_mean	False_positive_frac	log2FC	-log10 p-val	is_significant
TMEM52	0.006443184	0.0050235763	0.01020408163265306	0.006812237	0.007957559681697613	0.43200162	0.10697677	0
CFAP74	0.0036728643	-9.458745e-11	0.0	0.0046276143	0.005305039787798408	5.5630417	0.79947335	0
AL391845.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
GABRD	0.001694317	-9.458745e-11	0.0	0.002134749	0.002652519893899204	4.4820423	0.4976388	0
AL391845.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PRKCZ	0.004166676	0.0038462842	0.01020408163265306	0.004249971	0.005305039787798408	0.14051074	0.029310498	0
AL590822.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PRKCZ-AS1	0.0049201753	0.011762545	0.02040816326530612	0.0031415506	0.002652519893899204	-1.8716576	0.47643915	0
FAAP20	0.82859415	0.8819515	0.7755102040816326	0.81472516	0.7161803713527851	-0.11437241	0.49456075	0
AL590822.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SKI	0.23997778	0.2483575	0.3469387755102041	0.2377997	0.2891246684350133	-0.06264567	0.09462403	0
AL590822.3	0.0058778734	0.0032152121	0.01020408163265306	0.006570028	0.010610079575596816	1.0085915	0.32834756	0
MORN1	0.014682917	0.020661635	0.030612244897959183	0.013128679	0.021220159151193633	-0.65025103	0.25317752	0
AL589739.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL513477.2	0.0024685708	-9.458745e-11	0.0	0.0031102682	0.005305039787798408	5.0046234	0.79150736	0
RER1	0.7500643	0.8205975	0.7551020408163265	0.7317296	0.6896551724137931	-0.16534282	0.74724615	0
PEX10	0.07875818	0.06292536	0.11224489795918367	0.08287402	0.11405835543766578	0.3967272	0.42489868	0
PLCH2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL139246.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL139246.4	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PANK4	0.010727488	0.015089682	0.02040816326530612	0.009593525	0.013262599469496022	-0.64799845	0.19835904	0
HES5	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL139246.5	0.0120083485	0.006443929	0.01020408163265306	0.0134548005	0.015915119363395226	1.0505749	0.38936117	0
TNFRSF14-AS1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TNFRSF14	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL139246.3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PRXL2B	0.088312745	0.087510556	0.12244897959183673	0.088521406	0.11140583554376658	0.01655056	0.012227487	0
MMEL1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL831784.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TTC34	0.0028438016	0.0061272676	0.01020408163265306	0.0019902734	0.002652519893899204	-1.5749075	0.28231466	0
AC242022.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AC242022.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL592464.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL592464.3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL592464.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL589702.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
ACTRT2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PRDM16-DT	0.0025358668	-9.458745e-11	0.0	0.0031950572	0.005305039787798408	5.042233	0.7731601	0
PRDM16	0.009610058	0.021481754	0.04081632653061224	0.0065240525	0.007957559681697613	-1.7040261	0.6764674	0
AL008733.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL590438.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL354743.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL354743.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
ARHGEF16	0.00880416	0.0053910813	0.01020408163265306	0.009691254	0.010610079575596816	0.83440346	0.25478524	0
AL512413.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
MEGF6	0.003987111	-9.458745e-11	0.0	0.0050235484	0.005305039787798408	5.679073	0.80251575	0
AL513320.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TPRG1L	0.15760638	0.17451967	0.25510204081632654	0.15321003	0.19363395225464192	-0.18776403	0.25543082	0
WRAP73	0.08807841	0.07047499	0.12244897959183673	0.09265451	0.11405835543766578	0.3942604	0.43885836	0
TP73	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL136528.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL136528.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CCDC27	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SMIM1	0.07005021	0.040020414	0.061224489795918366	0.07785655	0.09549071618037135	0.9583337	1.1401186	0
LRRC47	0.11153961	0.0849991	0.12244897959183673	0.118438795	0.15384615384615385	0.47814354	0.60541093	0
AL365330.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CEP104	0.1689752	0.19602935	0.25510204081632654	0.16194274	0.1962864721485411	-0.2754311	0.39218137	0
DFFB	0.028386416	0.034688912	0.05102040816326531	0.026748037	0.034482758620689655	-0.37381107	0.18495603	0
C1orf174	0.15696254	0.11983521	0.1836734693877551	0.1666137	0.21485411140583555	0.47511742	0.8338117	0
LINC01134	0.0028759397	0.006742344	0.01020408163265306	0.0018708691	0.002652519893899204	-1.7956587	0.3118187	0
LINC01346	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC01345	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC02780	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL805961.1	0.0017100109	-9.458745e-11	0.0	0.002154523	0.002652519893899204	4.494752	0.49763823	0
LINC01777	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL355602.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
Z98747.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC01646	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AJAP1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
Z98886.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
BX005132.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC02781	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC02782	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL139823.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
Z98259.3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
Z98259.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
Z98259.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL365255.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
NPHP4	0.017554134	0.030308016	0.04081632653061224	0.014238763	0.021220159151193633	-1.0845312	0.49661204	0
KCNAB2	0.025357762	0.037463985	0.05102040816326531	0.022210682	0.026525198938992044	-0.75161564	0.3813005	0
CHD5	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
RPL22	2.2964978	2.3170714	1.0	2.2911484	0.9920424403183024	-0.01623093	0.24901405	0
AL031847.1	0.0023314806	-9.458745e-11	0.0	0.0029375418	0.005305039787798408	4.924834	0.7973921	0
RNF207	0.008671577	0.00701026	0.01020408163265306	0.009103417	0.013262599469496022	0.37226728	0.098330975	0
ICMT	0.20529446	0.24888694	0.32653061224489793	0.19396284	0.23607427055702918	-0.35954618	0.6721559	0
LINC00337	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
HES3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
GPR153	0.063939504	0.019719506	0.030612244897959183	0.07543443	0.09814323607427056	1.9302135	2.9167886	0
ACOT7	0.13188364	0.20664068	0.3163265306122449	0.112451114	0.14323607427055704	-0.87724197	1.9580752	0
AL031848.2	0.0022635863	0.0050235763	0.01020408163265306	0.0015461261	0.002652519893899204	-1.6380763	0.29282197	0
HES2	0.0034541239	0.007814457	0.01020408163265306	0.0023206575	0.002652519893899204	-1.7090913	0.29955083	0
ESPN	0.0053413026	0.0069168513	0.02040816326530612	0.0049317568	0.007957559681697613	-0.47976166	0.13929678	0
AL031848.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TNFRSF25	0.036092903	0.074635044	0.12244897959183673	0.026073975	0.03713527851458886	-1.513652	1.4669981	0
PLEKHG5	0.031672318	0.04303678	0.07142857142857142	0.0287181	0.03713527851458886	-0.58194333	0.37083063	0
NOL9	0.14398536	0.19753711	0.2755102040816326	0.13006504	0.16180371352785147	-0.60251176	1.0147388	0
TAS1R1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
ZBTB48	0.049974255	0.027148457	0.05102040816326531	0.05590793	0.06896551724137931	1.0394566	1.0743514	0
KLHL21	0.016410116	0.020865781	0.030612244897959183	0.015251953	0.021220159151193633	-0.4496144	0.17191757	0
PHF13	0.10728383	0.110002875	0.17346938775510204	0.10657725	0.13793103448275862	-0.045599632	0.042036474	0
THAP3	0.11970319	0.12262767	0.1836734693877551	0.118943155	0.15384615384615385	-0.04397584	0.042258248	0
DNAJC11	0.09993902	0.13398576	0.1836734693877551	0.09108897	0.11936339522546419	-0.55622476	0.7007185	0
LINC01672	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL591163.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CAMTA1-DT	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CAMTA1	0.71747774	0.66466516	0.673469387755102	0.7312069	0.6684350132625995	0.13763222	0.55588305	0
AL512330.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CAMTA1-IT1	0.0031252042	-9.458745e-11	0.0	0.003937592	0.005305039787798408	5.3354244	0.8020161	0
Z97987.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL365194.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL359881.3	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL359881.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL359881.1	0.0013138893	-9.458745e-11	0.0	0.0016554306	0.002652519893899204	4.1337543	0.49764115	0
VAMP3	0.50234705	0.5439546	0.6326530612244898	0.49153072	0.5039787798408488	-0.14617649	0.46510532	0
Z98884.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PER3	0.018687485	0.006528778	0.01020408163265306	0.021848088	0.026525198938992044	1.7272805	0.93933076	0
Z98884.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
UTS2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
TNFRSF9	0.021389721	0.007152954	0.01020408163265306	0.025090497	0.029177718832891247	1.796239	1.0560687	0
PARK7	1.5872214	1.5897433	0.9489795918367347	1.5865648	0.9363395225464191	-0.0028872082	0.018494355	0
AL034417.4	0.0018357075	-9.458745e-11	0.0	0.0023128933	0.002652519893899204	4.592694	0.4976365	0
AL034417.3	0.00819045	0.015035703	0.02040816326530612	0.0064110584	0.005305039787798408	-1.2169917	0.31914383	0
ERRFI1	0.33176818	0.22498384	0.2857142857142857	0.35952583	0.35013262599469497	0.6760341	2.117744	0
AL034417.2	0.011708167	0.0077595655	0.01020408163265306	0.012734596	0.01856763925729443	0.7075164	0.22653867	0
LINC01714	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
AL358876.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SLC45A1	0.0058186916	0.00887155	0.02040816326530612	0.005025149	0.007957559681697613	-0.80776334	0.22747956	0
RERE	0.53655845	0.54025644	0.5816326530612245	0.53559625	0.5358090185676393	-0.012496221	0.027239911	0
RERE-AS1	0.0012120272	-9.458745e-11	0.0	0.00152709	0.002652519893899204	4.0242233	0.49764177	0
AL357552.2	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
ENO1	2.4593048	2.498442	0.9897959183673469	2.4491308	0.9893899204244032	-0.02875774	0.36181444	0
ENO1-AS1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
CA6	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SLC2A7	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SLC2A5	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
GPR157	0.008081401	0.02432994	0.04081632653061224	0.0038577581	0.005305039787798408	-2.6258948	0.93284804	0
MIR34AHG	0.02450946	0.0174151	0.04081632653061224	0.026353557	0.03978779840848806	0.5948624	0.37504813	0
LNCTAM34A	0.021303648	0.026930397	0.04081632653061224	0.019840945	0.023872679045092837	-0.43884897	0.18628813	0
H6PD	0.10931286	0.1580533	0.24489795918367346	0.0966432	0.129973474801061	-0.7090915	1.1904505	0
SPSB1	0.027653078	0.016437639	0.030612244897959183	0.0305685	0.04774535809018567	0.8910043	0.61374795	0
BX323043.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
LINC02606	0.0072662914	0.009329361	0.02040816326530612	0.0067300783	0.007957559681697613	-0.46525788	0.13292511	0
AL928921.1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
SLC25A33	0.06684294	0.101326376	0.16326530612244897	0.057879373	0.07427055702917772	-0.80682117	0.98368293	0
TMEM201	0.0303955	0.027537147	0.04081632653061224	0.031138463	0.04509283819628647	0.17671476	0.08491735	0
PIK3CD	0.008096879	0.007651	0.01020408163265306	0.008212807	0.013262599469496022	0.10095326	0.02332228	0
PIK3CD-AS1	4.8748916e-10	-9.458745e-11	0.0	1.7462298e-10	0.0	3.9555953e-06	39.031765	0
PIK3CD-AS2	0.029276209	0.054964278	0.08163265306122448	0.02259858	0.029177718832891247	-1.2785147	0.8955068	0
CLSTN1	0.387411	0.3726566	0.4489795918367347	0.39124516	0.4323607427055703	0.07020761	0.13846958	0
CTNNBIP1	0.27767494	0.29950967	0.42857142857142855	0.27199906	0.32891246684350134	-0.1389522	0.28275168	0
AL357140.1	0.0008449514	0.004095479	0.01020408163265306	1.7462298e-10	0.0	-5.390761	0.4951214	0
AL357140.4	0.001954141	-9.458745e-11	0.0	0.0024621142	0.002652519893899204	4.6792645	0.49763703	0
LZIC	0.42014757	0.43738207	0.5306122448979592	0.41566655	0.4562334217506631	-0.073450185	0.16432202	0
