gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
NECTIN2	0.5964909	0.44464046	0.5306122448979592	0.65915024	0.6505263157894737	0.5678627	6.204767	1
DACT3	0.4365449	0.59703505	0.6632653061224489	0.37032065	0.4168421052631579	-0.68889284	6.690482	1
HRC	0.046241015	0.13010915	0.15816326530612246	0.011635207	0.01263157894736842	-3.4719157	5.646125	1
ISOC2	0.40977186	0.27033898	0.4030612244897959	0.46730566	0.4968421052631579	0.78937215	7.335922	1
ZNF814	0.1812173	0.093847215	0.15306122448979592	0.21726905	0.25894736842105265	1.2102243	6.2858157	1
ZSCAN18	0.15240605	0.25300118	0.3622448979591837	0.11089759	0.14105263157894737	-1.1891859	5.73463	1
CPXM1	0.32649785	0.55201495	0.6428571428571429	0.2334378	0.2736842105263158	-1.2413126	13.302502	1
PRNP	0.17645586	0.30210042	0.4030612244897959	0.1246111	0.16421052631578947	-1.2769157	6.980959	1
GPCPD1	0.2403332	0.36149454	0.4846938775510204	0.19033623	0.23157894736842105	-0.9250649	5.915368	1
BMP2	0.10904878	0.20794633	0.2653061224489796	0.068241045	0.08210526315789474	-1.6060807	5.2025433	1
SMIM26	0.5694788	0.7523683	0.7704081632653061	0.4940152	0.5368421052631579	-0.60678345	8.011595	1
MAP1LC3A	0.58046514	0.41580668	0.4744897959183674	0.648409	0.5894736842105263	0.6408668	6.0852346	1
MYL9	0.97588617	0.48872948	0.5255102040816326	1.176902	0.7494736842105263	1.2677137	30.987707	1
RNF114	0.2824537	0.4043087	0.5204081632653061	0.2321697	0.27789473684210525	-0.80001307	5.4108686	1
ADRM1	0.5292976	0.3997103	0.49489795918367346	0.58277	0.5957894736842105	0.5438586	5.0138826	1
COL9A3	0.53945774	0.9085772	0.7142857142857143	0.3871502	0.3494736842105263	-1.230502	16.023037	1
EEF1A2	0.05577064	0.14128567	0.17346938775510204	0.020485323	0.02526315789473684	-2.779948	5.907223	1
TIAM1	0.13767986	0.25526398	0.30612244897959184	0.08916129	0.10736842105263159	-1.5164484	5.9480543	1
MRPS6	0.5513634	0.76772106	0.7193877551020408	0.46208882	0.47789473684210526	-0.7322879	8.375851	1
SLC5A3	0.21584873	0.35321027	0.39285714285714285	0.15916756	0.18736842105263157	-1.1494832	5.4120874	1
RCAN1	0.19356687	0.06026916	0.10714285714285714	0.24856962	0.27578947368421053	2.0423467	13.421611	1
COL18A1	1.1793005	0.91146606	0.7346938775510204	1.2898169	0.8063157894736842	0.5008589	7.630713	1
HDHD5	0.21268691	0.32060254	0.42346938775510207	0.16815703	0.2063157894736842	-0.93056893	5.180577	1
SLC25A1	0.32740843	0.21967827	0.33163265306122447	0.3718602	0.4336842105263158	0.75909954	5.5561795	1
SDF2L1	0.4223073	0.2501579	0.32653061224489793	0.49334228	0.5010526315789474	0.97946584	9.583113	1
YWHAH	0.85324514	0.5613635	0.5969387755102041	0.97368336	0.7431578947368421	0.7944085	14.384466	1
MYH9	1.0240965	0.6314059	0.6326530612244898	1.1861324	0.8042105263157895	0.90951854	21.940983	1
EIF3D	0.5585719	0.7465652	0.7653061224489796	0.4810014	0.5073684210526316	-0.6341205	8.536584	1
MPST	0.5189824	0.37496686	0.45918367346938777	0.57840866	0.6	0.6251909	6.077695	1
H1F0	0.3475925	0.6260468	0.5918367346938775	0.23268838	0.24421052631578946	-1.4274819	13.1598425	1
CYB5R3	0.7787245	0.5900471	0.6530612244897959	0.85657895	0.7326315789473684	0.53768	8.142073	1
TSPO	1.1895345	0.9067448	0.8214285714285714	1.3062212	0.8757894736842106	0.52658224	13.74318	1
ACOT9	0.28678462	0.1637038	0.23979591836734693	0.33757085	0.40210526315789474	1.0436488	7.6765876	1
PDK3	0.15576263	0.26747972	0.3673469387755102	0.10966479	0.13052631578947368	-1.2855533	6.314609	1
EBP	0.35508776	0.23604044	0.3163265306122449	0.40420938	0.42736842105263156	0.7758144	5.4602523	1
PGK1	1.8499123	2.3907368	1.0	1.6267498	0.9157894736842105	-0.5554346	36.84614	1
ITM2A	0.22700569	0.41202444	0.41836734693877553	0.15065837	0.14947368421052631	-1.4508419	7.321121	1
NRK	0.12048979	0.039935704	0.05612244897959184	0.15372907	0.19789473684210526	1.941969	7.799758	1
COL4A6	0.18258452	0.33294937	0.4030612244897959	0.120539516	0.1368421052631579	-1.4650334	8.067179	1
COL4A5	0.3572714	0.5141908	0.5561224489795918	0.2925183	0.33052631578947367	-0.81356454	6.230138	1
RAB33A	0.1400269	0.25790596	0.32653061224489793	0.09138657	0.12	-1.4957724	6.3789706	1
GPC3	0.27572167	0.41699862	0.44387755102040816	0.21742284	0.2463157894736842	-0.9392216	5.279856	1
RBMX	0.766615	0.9680806	0.8469387755102041	0.6834862	0.6357894736842106	-0.5021528	7.9414525	1
MAMLD1	0.043275915	0.004592098	0.01020408163265306	0.059238087	0.07789473684210527	3.6606536	6.2272277	1
BGN	1.0979851	0.7503881	0.5918367346938775	1.241414	0.7368421052631579	0.7261993	10.766646	1
FLNA	0.9730176	0.61043227	0.6632653061224489	1.1226307	0.8042105263157895	0.87887245	21.834219	1
