id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|UN
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.145	0.728	0.531	0.06	0.108	0.575	0.081	0.127	0.304	0.887	0.69	0.219	0.267	0.734	0.24	0.286	0.517	1.1	0.904	0.432	0.481	0.948	0.453	0.5	0.155	0.738	0.541	0.07	0.118	0.585	0.091	0.137	0.186	0.768	0.572	0.1	0.149	0.616	0.121	0.168	0.186	0.769	0.573	0.101	0.149	0.617	0.122	0.169	0.387	0.969	0.773	0.301	0.35	0.817	0.322	0.369	0.137	0.719	0.523	0.051	0.1	0.567	0.073	0.119
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.659	1.242	1.046	0.574	0.622	1.09	0.595	0.642	0.277	0.86	0.663	0.192	0.24	0.707	0.213	0.259	0.238	0.821	0.624	0.153	0.201	0.668	0.174	0.22	0.683	1.266	1.069	0.598	0.646	1.113	0.619	0.665	0.835	1.418	1.221	0.749	0.798	1.265	0.771	0.817	0.258	0.841	0.644	0.173	0.221	0.688	0.194	0.24	0.235	0.818	0.621	0.15	0.198	0.665	0.171	0.217	0.734	1.317	1.12	0.649	0.697	1.164	0.67	0.716
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.055	0.046	0.079	0.036	0.291	0.569	0.304	0.05	0.32	0.311	0.344	0.301	0.556	0.834	0.569	0.314	0.216	0.207	0.24	0.197	0.452	0.73	0.465	0.21	0.068	0.059	0.092	0.048	0.303	0.582	0.317	0.062	0.132	0.123	0.156	0.113	0.367	0.646	0.381	0.126	0.095	0.086	0.119	0.076	0.33	0.609	0.344	0.089	0.45	0.441	0.474	0.431	0.685	0.964	0.699	0.444	0.04	0.031	0.064	0.021	0.275	0.554	0.289	0.034
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.029	0.0	0.014	0.002	0.006	0.134	0.124	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.014	0.003	0.006	0.134	0.124	0.003	0.077	0.0	0.062	0.05	0.054	0.182	0.171	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.015	0.003	0.007	0.135	0.124	0.003
CPI-CS058DED3AA	ProstaglandinF2a_byAKR1B1_PTGFR	complex:ProstaglandinF2a_byAKR1B1	simple:P43088		PTGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.252	0.0	0.0	0.0	0.248	0.267	0.0	0.246	0.137	0.0	0.0	0.0	0.133	0.151	0.0	0.131	0.16	0.0	0.0	0.0	0.156	0.175	0.0	0.154	0.034	0.0	0.0	0.0	0.03	0.048	0.0	0.028	0.091	0.0	0.0	0.0	0.087	0.106	0.0	0.085	0.072	0.0	0.0	0.0	0.068	0.086	0.0	0.066	0.069	0.0	0.0	0.0	0.064	0.083	0.0	0.063	0.101	0.0	0.0	0.0	0.097	0.115	0.0	0.095
CPI-CS0D78DAC70	ProstaglandinD2_byAKR1C3_PTGFR	complex:ProstaglandinD2_byAKR1C3	simple:P43088		PTGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.085	0.0	0.0	0.0	0.081	0.099	0.0	0.079	0.012	0.0	0.0	0.0	0.008	0.026	0.0	0.006	0.011	0.0	0.0	0.0	0.007	0.026	0.0	0.005	0.316	0.0	0.0	0.0	0.312	0.33	0.0	0.31	0.019	0.0	0.0	0.0	0.015	0.033	0.0	0.013	0.069	0.0	0.0	0.0	0.065	0.084	0.0	0.063	0.031	0.0	0.0	0.0	0.027	0.045	0.0	0.025	0.029	0.0	0.0	0.0	0.025	0.043	0.0	0.023
CPI-CS09DCEBC2B	ProstaglandinE2_byPTGES_PTGER1	complex:ProstaglandinE2_byPTGES	simple:P34995		PTGER1	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.005	0.0	0.014	0.003	0.006	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.022	0.01	0.014	0.01	0.0	0.0	0.024	0.0	0.034	0.022	0.026	0.022	0.0	0.0	0.022	0.0	0.032	0.021	0.024	0.021	0.0	0.0	0.009	0.0	0.018	0.007	0.011	0.007	0.0	0.0	0.005	0.0	0.015	0.003	0.007	0.003	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.002	0.0	0.006	0.0	0.003	0.011	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.014	0.0	0.01	0.018	0.029	0.0	0.021	0.0	0.026	0.0	0.022	0.03	0.041	0.0	0.02	0.0	0.024	0.0	0.021	0.029	0.039	0.0	0.006	0.0	0.01	0.0	0.007	0.015	0.026	0.0	0.002	0.0	0.007	0.0	0.004	0.011	0.022	0.0
CPI-CS080C76630	ProstaglandinE2_byPTGES_PTGER3	complex:ProstaglandinE2_byPTGES	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.043	0.02	0.0	0.011	0.023	0.035	0.005	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.028	0.0	0.018	0.03	0.043	0.012	0.024	0.062	0.04	0.0	0.03	0.042	0.055	0.024	0.036	0.061	0.038	0.0	0.029	0.041	0.053	0.023	0.034	0.047	0.024	0.0	0.015	0.027	0.04	0.009	0.021	0.043	0.021	0.0	0.011	0.023	0.036	0.005	0.017
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.002	0.005	0.025	0.0	0.012	0.019	0.03	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.032	0.0	0.019	0.027	0.037	0.011	0.022	0.024	0.044	0.0	0.031	0.039	0.049	0.023	0.02	0.023	0.042	0.0	0.029	0.037	0.047	0.022	0.006	0.009	0.029	0.0	0.016	0.023	0.034	0.008	0.003	0.005	0.025	0.0	0.012	0.02	0.03	0.005
