id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB	CM|MU	CM|SM	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB	EN_H|MU	EN_H|SM	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB	EN_V|MU	EN_V|SM	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB	EP|MU	EP|SM	EP|UN	FB|CM	FB|EN_H	FB|EN_V	FB|EP	FB|FB	FB|MU	FB|SM	FB|UN	MU|CM	MU|EN_H	MU|EN_V	MU|EP	MU|FB	MU|MU	MU|SM	MU|UN	SM|CM	SM|EN_H	SM|EN_V	SM|EP	SM|FB	SM|MU	SM|SM	SM|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB	UN|MU	UN|SM	UN|UN
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.252	0.0	0.0	0.0	0.253	0.255	0.0	0.0	0.017	0.0	0.0	0.0	0.018	0.02	0.0	0.0	0.041	0.0	0.0	0.0	0.042	0.044	0.0	0.0	0.026	0.0	0.0	0.0	0.027	0.029	0.0	0.0	0.476	0.0	0.0	0.0	0.477	0.479	0.0	0.0	0.459	0.0	0.0	0.0	0.46	0.462	0.0	0.0	0.253	0.0	0.0	0.0	0.253	0.255	0.0	0.0	0.113	0.0	0.0	0.0	0.114	0.116	0.0	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.116	0.64	0.641	0.018	0.142	0.265	0.848	0.092	0.109	0.633	0.634	0.011	0.135	0.258	0.841	0.085	0.112	0.636	0.637	0.014	0.138	0.261	0.844	0.088	0.108	0.633	0.633	0.01	0.134	0.258	0.841	0.084	0.113	0.638	0.638	0.015	0.139	0.263	0.846	0.089	0.163	0.688	0.688	0.065	0.189	0.313	0.895	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D37C7C70	DLK1_NOTCH4	simple:P80370	simple:Q99466	DLK1	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.026	0.383	0.369	0.024	0.026	0.023	0.0	0.036	0.069	0.426	0.411	0.066	0.068	0.065	0.0	0.078	0.066	0.423	0.408	0.063	0.065	0.062	0.0	0.075	1.323	1.68	1.665	1.32	1.322	1.319	0.0	1.332	0.701	1.058	1.044	0.698	0.701	0.698	0.0	0.711	0.359	0.715	0.701	0.356	0.358	0.355	0.0	0.368	0.158	0.515	0.5	0.155	0.157	0.154	0.0	0.167	0.08	0.437	0.422	0.077	0.079	0.076	0.0	0.089
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.0	0.0	0.003	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.199	0.0	0.0	0.208	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.028	0.0	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.036	1.571	1.332	0.035	0.315	0.228	0.438	0.047	0.26	1.795	1.556	0.259	0.539	0.452	0.662	0.272	0.503	2.038	1.799	0.502	0.782	0.695	0.905	0.514	0.034	1.569	1.329	0.033	0.312	0.225	0.435	0.045	0.085	1.62	1.381	0.084	0.364	0.277	0.487	0.096	0.153	1.688	1.449	0.152	0.432	0.345	0.555	0.164	0.209	1.744	1.505	0.209	0.488	0.401	0.611	0.221	0.054	1.589	1.349	0.053	0.333	0.246	0.456	0.065
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.036	0.948	0.904	0.021	0.097	0.034	0.0	0.047	0.26	1.172	1.128	0.245	0.321	0.258	0.0	0.272	0.503	1.415	1.371	0.488	0.564	0.501	0.0	0.514	0.034	0.946	0.901	0.018	0.095	0.031	0.0	0.045	0.085	0.997	0.953	0.07	0.146	0.083	0.0	0.096	0.153	1.065	1.021	0.138	0.214	0.151	0.0	0.164	0.209	1.122	1.077	0.194	0.27	0.207	0.0	0.221	0.054	0.966	0.921	0.038	0.115	0.052	0.0	0.065
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.215	0.721	0.485	0.028	0.123	0.313	0.135	0.095	0.439	0.946	0.709	0.252	0.347	0.537	0.36	0.319	0.681	1.188	0.952	0.495	0.59	0.779	0.602	0.562	0.212	0.719	0.482	0.026	0.12	0.31	0.133	0.092	0.264	0.771	0.534	0.077	0.172	0.362	0.184	0.144	0.332	0.839	0.602	0.145	0.24	0.43	0.252	0.212	0.388	0.895	0.658	0.202	0.296	0.486	0.309	0.268	0.232	0.739	0.502	0.046	0.141	0.33	0.153	0.113
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.047	0.048	0.068	0.045	0.265	0.464	0.066	0.041	0.351	0.352	0.372	0.349	0.569	0.767	0.37	0.345	0.197	0.198	0.218	0.195	0.415	0.613	0.216	0.191	0.031	0.031	0.051	0.029	0.249	0.447	0.05	0.025	0.207	0.208	0.228	0.205	0.425	0.624	0.226	0.201	0.217	0.218	0.238	0.215	0.435	0.634	0.236	0.211	0.561	0.562	0.582	0.559	0.779	0.977	0.58	0.555	0.034	0.035	0.055	0.032	0.252	0.451	0.053	0.028
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.027	0.003	0.009	0.003	0.015	0.149	0.057	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.031	0.036	0.03	0.042	0.177	0.084	0.036	0.03	0.006	0.012	0.006	0.018	0.152	0.06	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.001	0.0	0.0	0.017	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.018	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.422	0.0	0.0	0.438	0.0	0.459	0.0	0.0	0.009	0.0	0.0	0.025	0.0	0.045	0.0	0.0	0.009	0.0	0.0	0.025	0.0	0.045	0.0	0.0	0.015	0.0	0.0	0.031	0.0	0.051	0.0	0.0	0.046	0.0	0.0	0.062	0.0	0.083	0.0	0.0	0.077	0.0	0.0	0.093	0.0	0.113	0.0	0.0	0.051	0.0	0.0	0.067	0.0	0.087	0.0	0.0	0.174	0.0	0.0	0.19	0.0	0.211	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.042	0.722	0.655	0.032	0.168	0.117	0.159	0.053	0.042	0.722	0.655	0.032	0.168	0.117	0.159	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.726	0.66	0.036	0.172	0.121	0.163	0.057	0.042	0.722	0.656	0.032	0.168	0.117	0.159	0.053	0.054	0.734	0.668	0.044	0.18	0.129	0.171	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.724	0.658	0.035	0.17	0.119	0.161	0.055
CPI-CS0FBE83390	5-HT_byTPH1_and_SLC18A2_HTR2C	complex:5-HT_byTPH1_and_SLC18A2	simple:P28335		HTR2C	True	False	True	curated	False	Ligand-Receptor	Signaling by Serotonin	0.0	0.001	0.002	0.0	0.001	0.004	0.01	0.0	0.001	0.002	0.003	0.0	0.002	0.006	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.004	0.0	0.003	0.007	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.004	0.0	0.003	0.007	0.012	0.0
CPI-CS059692236	5-HT_byTPH1_and_SLC18A2_HTR7	complex:5-HT_byTPH1_and_SLC18A2	simple:P34969		HTR7	True	False	True	curated	False	Ligand-Receptor	Signaling by Serotonin	0.0	0.0	0.002	0.0	0.005	0.005	0.006	0.005	0.001	0.0	0.003	0.0	0.006	0.006	0.007	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.004	0.0	0.007	0.007	0.008	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.004	0.0	0.007	0.007	0.008	0.007
CPI-SS0879B8E95	CD160_TNFRSF14	simple:O95971	simple:Q92956	CD160	TNFRSF14	False	True	True	curated	False	Adhesion-Adhesion	Signaling by Tumor necrosis factor	0.0	0.018	0.016	0.021	0.0	0.006	0.0	0.008	0.0	0.016	0.014	0.019	0.0	0.004	0.0	0.006	0.0	0.019	0.017	0.022	0.0	0.007	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.018	0.023	0.0	0.008	0.0	0.01	0.0	0.021	0.019	0.024	0.0	0.009	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.021	0.026	0.0	0.011	0.0	0.013
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.007	0.895	0.841	0.014	0.102	0.077	0.087	0.027	0.895	1.783	1.729	0.902	0.99	0.965	0.975	0.915	0.841	1.729	1.675	0.848	0.936	0.911	0.921	0.861	0.014	0.902	0.848	0.021	0.109	0.084	0.094	0.034	0.102	0.99	0.936	0.109	0.197	0.172	0.182	0.122	0.077	0.965	0.911	0.084	0.172	0.147	0.157	0.097	0.087	0.975	0.921	0.094	0.182	0.157	0.168	0.107	0.027	0.915	0.861	0.034	0.122	0.097	0.107	0.047
