gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	SM	UN
PTGER3	P43115	False	PE2R3_HUMAN		CPI-CS080C76630	PTGER3	0.091	0.017	0.037	0.019	0.115	0.1	0.011	0.0	0.037
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.001	0.012	0.014	0.008	0.011	0.07	0.136	0.056	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS09B2320BC	LGR5	0.001	0.0	0.0	0.033	0.0	0.112	0.003	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.001	0.0	0.0	0.033	0.0	0.112	0.003	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.001	0.0	0.0	0.033	0.0	0.112	0.003	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.078	1.438	1.305	0.059	0.33	0.132	0.404	0.312	0.1
HTR2B	P41595	False	5HT2B_HUMAN		CPI-CS09463D22E	HTR2B	0.001	0.0	0.004	0.0	0.015	0.006	0.013	0.015	0.0
HTR2C	P28335	False	5HT2C_HUMAN		CPI-CS0FBE83390	HTR2C	0.0	0.002	0.004	0.0	0.002	0.013	0.0	0.02	0.0
HTR7	P34969	False	5HT7R_HUMAN		CPI-CS059692236	HTR7	0.0	0.0	0.003	0.0	0.01	0.007	0.012	0.011	0.01
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.001	0.0	0.004	0.0	0.002	0.028	0.004	0.0	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS0CDDDEE9F	TACR1	0.001	0.0	0.004	0.0	0.002	0.028	0.004	0.0	0.0
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS0879B8E95	TNFRSF14	0.0	0.03	0.026	0.036	0.0	0.004	0.01	0.0	0.01
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.215	1.879	1.79	0.024	0.177	0.072	0.009	0.0	0.093
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0A10C2A8F	FRZB	0.213	0.013	0.065	0.011	0.056	0.183	0.593	0.103	0.06
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.213	0.013	0.065	0.011	0.056	0.183	0.593	0.103	0.06
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.213	0.013	0.065	0.011	0.056	0.183	0.593	0.103	0.06
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0DF9024C0	SFRP1	1.758	0.531	0.352	0.069	1.153	2.491	0.774	0.583	0.74
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	1.758	0.531	0.352	0.069	1.153	2.491	0.774	0.583	0.74
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	1.758	0.531	0.352	0.069	1.153	2.491	0.774	0.583	0.74
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0E9BE6A4E	SFRP2	0.005	0.002	0.0	0.0	0.005	0.131	0.002	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.005	0.002	0.0	0.0	0.005	0.131	0.002	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.005	0.002	0.0	0.0	0.005	0.131	0.002	0.0	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-CS09A35DD21	PTGIR	0.003	0.002	0.012	0.0	0.06	0.066	0.135	0.0	0.0
