gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB	MU	SM	UN
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.32	0.033	0.074	0.003	0.035	0.294	0.025	0.177
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS0DE3B267F	GHSR	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.006	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.213	1.262	1.263	0.017	0.265	0.512	1.678	0.165
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0D37C7C70	NOTCH4	0.019	0.733	0.704	0.013	0.017	0.012	0.0	0.038
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.0	0.004	0.0	0.0	0.022	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.055	3.125	2.646	0.053	0.613	0.438	0.858	0.077
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.412	1.426	0.952	0.039	0.228	0.608	0.253	0.172
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.033	0.035	0.075	0.03	0.469	0.866	0.071	0.021
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.054	0.006	0.017	0.006	0.03	0.298	0.113	0.017
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.001	0.0	0.0	0.033	0.0	0.074	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.001	0.0	0.0	0.033	0.0	0.074	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.078	1.438	1.305	0.059	0.33	0.229	0.312	0.1
HTR2C	P28335	False	5HT2C_HUMAN		CPI-CS0FBE83390	HTR2C	0.0	0.002	0.004	0.0	0.002	0.009	0.02	0.0
HTR7	P34969	False	5HT7R_HUMAN		CPI-CS059692236	HTR7	0.0	0.0	0.003	0.0	0.01	0.009	0.011	0.01
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS0879B8E95	TNFRSF14	0.0	0.03	0.026	0.036	0.0	0.006	0.0	0.01
