id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EN|CM	EN|EN	EN|EP	EN|FB	EN|PR	EN|SM	EN|UN	EP|CM	EP|EN	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EN	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EN	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.039	0.039	0.047	0.059	0.102	0.043	0.038	0.427	0.427	0.435	0.447	0.49	0.431	0.426	0.047	0.047	0.055	0.067	0.11	0.051	0.046	0.211	0.211	0.22	0.232	0.275	0.215	0.211	0.418	0.418	0.427	0.438	0.481	0.422	0.417	0.314	0.314	0.322	0.334	0.377	0.318	0.313	0.074	0.074	0.083	0.095	0.137	0.078	0.074
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.05	0.056	0.237	0.168	0.226	0.125	0.056	0.055	0.061	0.242	0.173	0.231	0.13	0.061	0.133	0.139	0.32	0.251	0.309	0.208	0.139	0.03	0.036	0.217	0.149	0.207	0.105	0.036	0.008	0.014	0.195	0.126	0.184	0.083	0.014	0.037	0.043	0.224	0.155	0.213	0.112	0.043	0.016	0.023	0.204	0.135	0.193	0.092	0.023
CPI-SS09947DDD9	EGF_EGFR	simple:P01133	simple:P00533	EGF	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.021	0.028	0.208	0.14	0.198	0.096	0.027	0.02	0.026	0.207	0.139	0.197	0.095	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.015	0.196	0.127	0.185	0.084	0.015	0.007	0.013	0.194	0.125	0.183	0.082	0.013	0.031	0.038	0.218	0.15	0.208	0.106	0.037	0.039	0.046	0.227	0.158	0.216	0.115	0.046
CPI-SS0430C8A78	FLRT1_ADGRL3	simple:Q9NZU1	simple:Q9HAR2	FLRT1	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.039	0.015	0.0	0.026	0.069	0.0	0.019	0.038	0.014	0.0	0.025	0.068	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.015	0.0	0.026	0.069	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.018	0.0	0.03	0.072	0.0	0.022
CPI-CS059C42E4B	TENM3_FLRT1_complex_ADGRL3	complex:TENM3_FLRT1_complex	simple:Q9HAR2		ADGRL3	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.039	0.015	0.0	0.026	0.069	0.0	0.019	0.038	0.014	0.0	0.025	0.068	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.015	0.0	0.026	0.069	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.018	0.0	0.03	0.072	0.0	0.022
CPI-SS0474E1C15	FLRT2_ADGRL3	simple:O43155	simple:Q9HAR2	FLRT2	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.141	0.117	0.0	0.128	0.171	0.0	0.121	0.045	0.021	0.0	0.032	0.075	0.0	0.025	0.081	0.057	0.0	0.068	0.111	0.0	0.061	0.127	0.103	0.0	0.114	0.157	0.0	0.107	0.187	0.162	0.0	0.174	0.217	0.0	0.166	0.078	0.053	0.0	0.065	0.108	0.0	0.057	0.101	0.077	0.0	0.089	0.132	0.0	0.081
CPI-SS052641D5A	FLRT3_ADGRL3	simple:Q9NZU0	simple:Q9HAR2	FLRT3	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.04	0.016	0.0	0.028	0.071	0.0	0.02	0.046	0.022	0.0	0.033	0.076	0.0	0.026	0.115	0.09	0.0	0.102	0.145	0.0	0.094	0.046	0.022	0.0	0.033	0.076	0.0	0.026	0.138	0.114	0.0	0.125	0.168	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.022	0.0	0.033	0.076	0.0	0.026
CPI-CS0D62B1695	TENM3_FLRT3_complex_ADGRL3	complex:TENM3_FLRT3_complex	simple:Q9HAR2		ADGRL3	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.04	0.016	0.0	0.028	0.071	0.0	0.02	0.046	0.022	0.0	0.033	0.076	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.022	0.0	0.033	0.076	0.0	0.026	0.138	0.114	0.0	0.125	0.168	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.022	0.0	0.033	0.076	0.0	0.026
CPI-SS038A612D7	TENM1_ADGRL3	simple:Q9UKZ4	simple:Q9HAR2	TENM1	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.039	0.015	0.0	0.026	0.069	0.0	0.019	0.038	0.014	0.0	0.025	0.068	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.014	0.0	0.026	0.069	0.0	0.018	0.1	0.076	0.0	0.087	0.13	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.018	0.0	0.03	0.073	0.0	0.022
CPI-SS0BCB3D402	TENM2_ADGRL3	simple:Q9NT68	simple:Q9HAR2	TENM2	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.049	0.025	0.0	0.037	0.08	0.0	0.029	0.038	0.014	0.0	0.026	0.069	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128	0.104	0.0	0.116	0.159	0.0	0.108	0.052	0.027	0.0	0.039	0.082	0.0	0.031	0.065	0.041	0.0	0.052	0.095	0.0	0.044	0.041	0.017	0.0	0.028	0.071	0.0	0.021
