id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EN|CM	EN|EN	EN|EP	EN|FB	EN|PR	EN|SM	EN|UN	EP|CM	EP|EN	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EN	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EN	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.809	0.01	0.033	0.005	0.0	0.015	0.809	1.614	0.815	0.837	0.81	0.0	0.819	0.01	0.815	0.016	0.039	0.011	0.0	0.021	0.033	0.837	0.039	0.061	0.034	0.0	0.043	0.005	0.81	0.011	0.034	0.006	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.819	0.021	0.043	0.016	0.0	0.025
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.002	0.036	0.028	0.009	0.016	0.0	0.002	0.002	0.035	0.027	0.008	0.015	0.0	0.036	0.035	0.068	0.061	0.041	0.049	0.0	0.028	0.027	0.061	0.053	0.034	0.041	0.0	0.009	0.008	0.041	0.034	0.014	0.022	0.0	0.016	0.015	0.049	0.041	0.022	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.027	0.012	0.016	0.251	0.0	0.0	0.027	0.037	0.022	0.027	0.261	0.0	0.0	0.012	0.022	0.008	0.012	0.247	0.0	0.0	0.016	0.027	0.012	0.017	0.251	0.0	0.0	0.251	0.261	0.247	0.251	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.005	0.009	0.009	0.016	0.015	0.012	0.004	0.001	0.005	0.005	0.012	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.007	0.007	0.014	0.013	0.011	0.027	0.024	0.028	0.028	0.035	0.034	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.01	0.008	0.011	0.011	0.018	0.017	0.015	0.004	0.002	0.006	0.006	0.013	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.006	0.005	0.012	0.011	0.009	0.013	0.011	0.015	0.015	0.022	0.021	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.013	0.017	0.017	0.024	0.023	0.021
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.004	0.008	0.008	0.015	0.014	0.011	0.005	0.003	0.007	0.006	0.014	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.013	0.017	0.016	0.023	0.022	0.02	0.034	0.032	0.036	0.035	0.042	0.041	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.005	0.009	0.008	0.016	0.014	0.012
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.015	0.013	0.017	0.017	0.024	0.023	0.021	0.08	0.078	0.081	0.081	0.088	0.087	0.085	0.007	0.005	0.009	0.008	0.016	0.014	0.012	0.034	0.032	0.036	0.036	0.043	0.042	0.039	0.077	0.075	0.078	0.078	0.085	0.084	0.082	0.056	0.054	0.058	0.057	0.064	0.063	0.061	0.007	0.005	0.009	0.009	0.016	0.015	0.013
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.37	0.849	0.205	0.467	0.248	0.278	0.255	0.849	1.329	0.685	0.946	0.727	0.758	0.735	0.205	0.685	0.041	0.302	0.084	0.114	0.091	0.467	0.946	0.302	0.564	0.345	0.375	0.352	0.248	0.727	0.084	0.345	0.126	0.157	0.134	0.278	0.758	0.114	0.375	0.157	0.187	0.164	0.255	0.735	0.091	0.352	0.134	0.164	0.141
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.022	0.433	0.019	0.453	0.172	0.567	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.494	0.905	0.49	0.925	0.644	1.038	0.504	0.023	0.434	0.019	0.454	0.172	0.567	0.033	0.022	0.433	0.018	0.453	0.171	0.566	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.03	0.029	0.034	0.034	0.1	0.394	0.028	0.199	0.198	0.203	0.203	0.269	0.563	0.197	0.073	0.072	0.077	0.077	0.143	0.436	0.071	0.191	0.19	0.195	0.195	0.261	0.555	0.189	0.054	0.054	0.058	0.058	0.124	0.418	0.052	0.328	0.327	0.331	0.331	0.397	0.691	0.326	0.035	0.034	0.039	0.039	0.105	0.399	0.033
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.012	0.016	0.238	0.019	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.823	0.827	1.049	0.83	0.851	0.0	0.0	0.019	0.023	0.245	0.026	0.047	0.0	0.0	0.003	0.007	0.229	0.01	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.01	0.233	0.014	0.035	0.0	0.0
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.015	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.825	0.0	0.823	0.0	0.0	0.0	0.0	0.021	0.0	0.019	0.0	0.0	0.0	0.0	0.006	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.007	0.0	0.0
CPI-SS086CB298F	APLN_APLNR	simple:Q9ULZ1	simple:P35414	APLN	APLNR	True	False	True	curated	False	Ligand-Receptor	Signaling by Apelin	0.006	0.162	0.0	0.039	0.006	0.0	0.0	0.751	0.908	0.0	0.784	0.751	0.0	0.0	0.006	0.162	0.0	0.039	0.006	0.0	0.0	0.007	0.164	0.0	0.04	0.008	0.0	0.0	0.004	0.16	0.0	0.037	0.004	0.0	0.0	0.009	0.165	0.0	0.042	0.009	0.0	0.0	0.025	0.182	0.0	0.058	0.026	0.0	0.0
CPI-SS0E4E83C2E	BDNF_NGFR	simple:P23560	simple:P08138	BDNF	NGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.066	0.012	0.0	0.218	0.024	0.122	0.046	0.072	0.018	0.0	0.224	0.03	0.128	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.021	0.0	0.228	0.034	0.131	0.055	0.132	0.078	0.0	0.285	0.091	0.188	0.112	0.136	0.082	0.0	0.289	0.095	0.192	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.003	0.007	0.0	0.06	0.07	0.059	0.004	0.009	0.013	0.0	0.066	0.076	0.065	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.016	0.0	0.069	0.079	0.068	0.013	0.069	0.073	0.0	0.127	0.136	0.126	0.07	0.073	0.077	0.0	0.131	0.14	0.13	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E3AA6B7B	NTN4_NTRK2	simple:Q9HB63	simple:Q16620	NTN4	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.002	0.006	0.0	0.059	0.069	0.058	0.002	0.002	0.006	0.0	0.059	0.069	0.058	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.009	0.0	0.063	0.072	0.062	0.006	0.012	0.016	0.0	0.069	0.079	0.068	0.013	0.062	0.066	0.0	0.119	0.129	0.118	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.213	0.022	0.026	0.029	0.363	0.012	0.104	0.21	0.019	0.022	0.025	0.359	0.008	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.021	0.024	0.027	0.361	0.01	0.102	0.233	0.042	0.045	0.048	0.382	0.031	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.216	0.025	0.028	0.031	0.365	0.014	0.106	0.21	0.019	0.023	0.026	0.36	0.009	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.019	0.023	0.026	0.36	0.009	0.1	0.219	0.029	0.032	0.035	0.369	0.018	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.031	0.034	0.037	0.371	0.02	0.112
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.212	0.021	0.025	0.028	0.362	0.011	0.103	0.211	0.02	0.024	0.027	0.361	0.01	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.03	0.034	0.037	0.371	0.02	0.111	0.24	0.049	0.053	0.056	0.39	0.039	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.022	0.026	0.029	0.363	0.012	0.104
CPI-SS0CCB5F46B	NLGN4Y_NRXN1	simple:Q8NFZ3	simple:Q9ULB1	NLGN4Y	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.222	0.031	0.034	0.037	0.371	0.02	0.112	0.286	0.095	0.099	0.101	0.435	0.085	0.176	0.213	0.022	0.026	0.029	0.363	0.012	0.104	0.24	0.05	0.053	0.056	0.39	0.039	0.131	0.283	0.092	0.095	0.098	0.432	0.081	0.173	0.262	0.071	0.075	0.078	0.412	0.061	0.152	0.214	0.023	0.026	0.029	0.363	0.012	0.104
CPI-SS093707FE0	CLSTN2_NRXN2	simple:Q9H4D0	simple:P58401	CLSTN2	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.004	0.007	0.0	0.009	0.031	0.014	0.0	0.001	0.003	0.0	0.006	0.027	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.0	0.007	0.029	0.012	0.0	0.024	0.026	0.0	0.029	0.05	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08D8F6957	LRRTM3_NRXN2	simple:Q86VH5	simple:P58401	LRRTM3	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.007	0.009	0.0	0.012	0.033	0.016	0.0	0.001	0.004	0.0	0.006	0.028	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.004	0.0	0.006	0.028	0.01	0.0	0.01	0.013	0.0	0.015	0.037	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.015	0.0	0.018	0.039	0.022	0.0
CPI-SS06157E5AF	LRRTM4_NRXN2	simple:Q86VH4	simple:P58401	LRRTM4	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.003	0.006	0.0	0.008	0.03	0.013	0.0	0.002	0.005	0.0	0.007	0.029	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.015	0.0	0.017	0.039	0.021	0.0	0.031	0.034	0.0	0.036	0.058	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.009	0.031	0.013	0.0
