gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.007	0.004	0.004	0.058
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.129	0.049	0.044	0.473
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.448	0.093	0.049	0.446
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.349	0.029	0.059	0.251
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.007	0.004	0.004	0.058
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS021718DBF	TENM2	0.129	0.049	0.044	0.473
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.448	0.093	0.049	0.446
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0FD44484F	TENM4	0.349	0.029	0.059	0.251
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.003	0.002	0.014	0.069
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS081E1A895	LRFN5	0.058	0.062	0.044	0.43
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	PTN	0.315	0.047	0.164	0.601
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0BA4E3F44	NTN4	0.002	0.001	0.018	0.017
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	NTF3	0.0	0.001	0.0	0.002
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.027	0.001	0.0	0.007
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.027	0.001	0.0	0.007
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0F67B526A	SEMA3C	0.109	0.068	0.059	0.022
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	RSPO2	0.0	0.0	0.0	0.001
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0ACAB1835	RSPO3	0.397	0.013	0.053	0.053
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.001
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.397	0.013	0.053	0.053
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.006	0.0	0.0
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0A932EB77	SLIT2	0.941	0.302	0.11	0.961
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0D0235DCE	SLIT2	0.941	0.302	0.11	0.961
TAC1	P20366	False	TKN1_HUMAN		CPI-SS015B70BF9	TAC1	0.009	0.01	0.039	0.161
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0EC8C81E0	VEGFC	0.04	0.108	0.007	0.03
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0FF2EEAE8	WNT5B	0.261	0.004	0.013	0.007
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0AC302C73	WNT5B	0.261	0.004	0.013	0.007
CD44	P16070	False	CD44_HUMAN		CPI-SS01503DD69	CD44	0.021	0.206	0.058	0.24
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.017	1.011	0.04	0.057
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	PTPRC	0.001	0.001	0.062	0.005
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0F9F83827	PTPRD	1.401	0.138	0.106	0.566
TRH	P20396	False	TRH_HUMAN		CPI-SS00F69C501	TRH	0.478	0.013	0.028	0.02
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TREM2	0.0	0.0	0.019	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0412566F3	TREM2	0.0	0.0	0.019	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TREM2	0.0	0.0	0.019	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC06C75F978	TREM2	0.0	0.0	0.019	0.001
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TREM2	0.0	0.0	0.019	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TYROBP	0.0	0.0	0.019	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0412566F3	TYROBP	0.0	0.0	0.019	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TYROBP	0.0	0.0	0.019	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC06C75F978	TYROBP	0.0	0.0	0.019	0.001
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TYROBP	0.0	0.0	0.019	0.001
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS0322747C2	CEACAM6	0.0	0.0	0.018	0.0
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	SELE	0.0	0.003	0.001	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.097	0.029	0.087	0.335
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0C0329180	NRXN3	0.097	0.029	0.087	0.335
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.097	0.029	0.087	0.335
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.097	0.029	0.087	0.335
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0731F750C	NRXN3	0.097	0.029	0.087	0.335
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F9118AB4	NRXN3	0.097	0.029	0.087	0.335
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0837C7966	NRXN3	0.097	0.029	0.087	0.335
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.027	0.028	0.085	0.101
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.008	0.008	0.249	0.076
ABCA1	O95477	False	ABCA1_HUMAN		CPI-SS015B29D3F	ABCA1	0.039	0.088	0.171	0.126
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.009	0.003	0.009	0.088
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0E3AA6B7B	NTRK2	0.009	0.003	0.009	0.088
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS093E05DD4	NTRK2	0.009	0.003	0.009	0.088
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.633	0.073	0.035	0.17
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0E5F8A5F7	NRXN1	0.633	0.073	0.035	0.17
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.633	0.073	0.035	0.17
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.633	0.073	0.035	0.17
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0D2DF7881	NRXN1	0.633	0.073	0.035	0.17
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0FA378947	NRXN1	0.633	0.073	0.035	0.17
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0CCB5F46B	NRXN1	0.633	0.073	0.035	0.17
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FDAB7BA8	DPP4	0.001	0.004	0.02	0.003
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0B1B18F2D	DPP4	0.001	0.004	0.02	0.003
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0CDAC688B	DPP4	0.001	0.004	0.02	0.003
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.009	0.461	0.022	0.055
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.009	0.461	0.022	0.055
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.02	0.227	0.42	0.216
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0C70ADA28	EPHA3	0.329	0.019	0.024	0.24
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.425	0.031	0.026	0.067
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.425	0.031	0.026	0.067
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.004	0.01	0.003	0.012
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS028688B7B	EPHA7	0.575	0.048	0.035	0.086
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS068ACD209	EPHB2	0.094	0.01	0.026	0.09
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0ECC9DF3E	EPHB2	0.094	0.01	0.026	0.09
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.043	0.029	0.242	0.346
EGFR	P00533	False	EGFR_HUMAN		CPI-SS004C23DCE	EGFR	0.043	0.029	0.242	0.346
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07E5C3060	EGFR	0.043	0.029	0.242	0.346
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0FC42EC80	ERBB4	1.302	0.024	0.062	0.029
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0BD5C2A23	ERBB4	1.302	0.024	0.062	0.029
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0D5E30C6C	ERBB4	1.302	0.024	0.062	0.029
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0627D0E22	ERBB4	1.302	0.024	0.062	0.029
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0474E1C15	ADGRL3	0.532	0.095	0.024	0.21
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS038A612D7	ADGRL3	0.532	0.095	0.024	0.21
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0BCB3D402	ADGRL3	0.532	0.095	0.024	0.21
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0EA023E51	ADGRL3	0.532	0.095	0.024	0.21
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	0.532	0.095	0.024	0.21
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.164	0.964	0.197	0.641
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	0.164	0.964	0.197	0.641
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.164	0.964	0.197	0.641
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	0.164	0.964	0.197	0.641
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.001	0.001	0.0
HRH1	P35367	False	HRH1_HUMAN		CPI-CS0FF6E7611	HRH1	0.011	0.009	0.012	0.07
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS081E1A895	PTPRD	1.401	0.138	0.106	0.566
ALK	Q9UM73	False	ALK_HUMAN		CPI-SS05D7900BF	ALK	0.278	0.004	0.013	0.027
UNC5D	Q6UXZ4	False	UNC5D_HUMAN		CPI-SS0BA4E3F44	UNC5D	0.002	0.003	0.001	0.029
NTRK3	Q16288	False	NTRK3_HUMAN		CPI-SS05162C56B	NTRK3	0.002	0.015	0.001	0.018
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.165	0.835	0.032	0.13
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	0.019	0.201	0.01	0.018
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F67B526A	NRP2	0.119	1.107	0.074	0.179
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0FADCFDB9	PTGDR	0.001	0.0	0.0	0.012
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS01E3453DB	LGR4	0.547	0.069	0.113	0.096
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0ACAB1835	LGR4	0.547	0.069	0.113	0.096
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.002	0.002	0.087	0.043
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.002	0.002	0.087	0.043
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.004	0.003	0.006	0.038
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.004	0.003	0.006	0.038
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.001	0.003	0.004	0.0
ROBO1	Q9Y6N7	False	ROBO1_HUMAN		CPI-SS0A932EB77	ROBO1	0.379	1.348	0.521	0.713
ROBO2	Q9HCK4	False	ROBO2_HUMAN		CPI-SS0D0235DCE	ROBO2	0.457	0.168	0.334	0.675
TACR3	P29371	False	NK3R_HUMAN		CPI-SS015B70BF9	TACR3	0.001	0.0	0.018	0.003
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0EC8C81E0	KDR	0.324	1.427	0.048	0.089
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0FF2EEAE8	SFRP1	1.046	0.256	0.259	0.644
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0AC302C73	SFRP2	0.001	0.001	0.0	0.01
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS01503DD69	TYROBP	0.001	0.002	0.092	0.001
MRC1	P22897	False	MRC1_HUMAN		CPI-SS0822AEF5F	MRC1	0.001	0.012	0.038	0.001
IL1RAPL1	Q9NZN1	False	IRPL1_HUMAN		CPI-SS0F9F83827	IL1RAPL1	0.143	0.045	0.044	0.356
TRHR	P34981	False	TRFR_HUMAN		CPI-SS00F69C501	TRHR	0.0	0.0	0.0	0.0
