gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.018	0.003	0.03	0.055	0.04
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.422	0.317	0.119	0.548	0.24
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.422	0.317	0.119	0.548	0.24
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.149	0.899	0.138	0.426	0.44
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.422	0.317	0.119	0.548	0.24
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.422	0.317	0.119	0.548	0.24
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.422	0.317	0.119	0.548	0.24
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.149	0.899	0.138	0.426	0.44
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.125	0.169	0.136	0.104	0.24
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	EREG	0.002	0.0	0.008	0.003	0.04
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	TGFA	0.005	0.003	0.037	0.001	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	EREG	0.002	0.0	0.008	0.003	0.04
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.041	0.281	0.074	0.085	0.16
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	NRG3	0.306	0.61	0.53	0.879	0.92
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.019	0.013	0.02	0.012	0.0
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.439	0.102	0.247	0.488	0.4
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.016	0.012	0.006	0.083	0.2
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.179	0.102	0.049	0.47	0.48
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.543	0.203	0.08	0.578	0.52
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.433	0.077	0.092	0.341	0.48
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.016	0.012	0.006	0.083	0.2
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS021718DBF	TENM2	0.179	0.102	0.049	0.47	0.48
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.543	0.203	0.08	0.578	0.52
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0FD44484F	TENM4	0.433	0.077	0.092	0.341	0.48
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.007	0.007	0.013	0.074	0.04
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS081E1A895	LRFN5	0.113	0.157	0.054	0.474	0.48
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	PTN	0.528	0.115	0.152	0.646	0.76
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0BA4E3F44	NTN4	0.007	0.002	0.027	0.026	0.32
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	NTF3	0.001	0.001	0.0	0.004	0.04
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.072	0.004	0.001	0.013	0.04
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0BDC912F3	CNTN1	0.072	0.004	0.001	0.013	0.04
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0F67B526A	SEMA3C	0.225	0.169	0.103	0.042	0.36
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	RSPO2	0.002	0.001	0.001	0.003	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0ACAB1835	RSPO3	0.37	0.022	0.049	0.086	0.04
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.002	0.001	0.001	0.003	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.37	0.022	0.049	0.086	0.04
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.02	0.001	0.001	0.0
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0A932EB77	SLIT2	0.779	0.421	0.135	0.694	0.28
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0D0235DCE	SLIT2	0.779	0.421	0.135	0.694	0.28
TAC1	P20366	False	TKN1_HUMAN		CPI-SS015B70BF9	TAC1	0.015	0.022	0.032	0.156	0.0
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0EC8C81E0	VEGFC	0.106	0.248	0.014	0.068	0.12
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0FF2EEAE8	WNT5B	0.492	0.016	0.026	0.017	0.16
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0AC302C73	WNT5B	0.492	0.016	0.026	0.017	0.16
CD44	P16070	False	CD44_HUMAN		CPI-SS01503DD69	CD44	0.051	0.455	0.075	0.37	0.72
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.036	0.912	0.053	0.126	0.2
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	PTPRC	0.002	0.001	0.039	0.008	0.0
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0F9F83827	PTPRD	0.945	0.331	0.133	0.666	0.52
TRH	P20396	False	TRH_HUMAN		CPI-SS00F69C501	TRH	0.554	0.039	0.049	0.039	0.04
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TREM2	0.0	0.001	0.021	0.002	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0412566F3	TREM2	0.0	0.001	0.021	0.002	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TREM2	0.0	0.001	0.021	0.002	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC06C75F978	TREM2	0.0	0.001	0.021	0.002	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TREM2	0.0	0.001	0.021	0.002	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0FE3CE9D1	TYROBP	0.0	0.001	0.021	0.002	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0412566F3	TYROBP	0.0	0.001	0.021	0.002	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC0EFFE8ACB	TYROBP	0.0	0.001	0.021	0.002	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC06C75F978	TYROBP	0.0	0.001	0.021	0.002	0.0
TYROBP	O43914	True	TYOBP_HUMAN	TREM2_receptor	CPI-SC046AFCFE9	TYROBP	0.0	0.001	0.021	0.002	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS0322747C2	CEACAM6	0.0	0.0	0.015	0.0	0.0
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	SELE	0.001	0.006	0.002	0.005	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.137	0.06	0.133	0.364	0.48
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0C0329180	NRXN3	0.137	0.06	0.133	0.364	0.48
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.137	0.06	0.133	0.364	0.48
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.137	0.06	0.133	0.364	0.48
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0731F750C	NRXN3	0.137	0.06	0.133	0.364	0.48
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F9118AB4	NRXN3	0.137	0.06	0.133	0.364	0.48
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0837C7966	NRXN3	0.137	0.06	0.133	0.364	0.48
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.069	0.062	0.078	0.078	0.24
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.019	0.024	0.358	0.153	0.2
ABCA1	O95477	False	ABCA1_HUMAN		CPI-SS015B29D3F	ABCA1	0.089	0.236	0.291	0.244	0.24
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.023	0.013	0.016	0.141	0.24
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0E3AA6B7B	NTRK2	0.023	0.013	0.016	0.141	0.24
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS093E05DD4	NTRK2	0.023	0.013	0.016	0.141	0.24
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.72	0.143	0.041	0.17	0.12
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0E5F8A5F7	NRXN1	0.72	0.143	0.041	0.17	0.12
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.72	0.143	0.041	0.17	0.12
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.72	0.143	0.041	0.17	0.12
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0D2DF7881	NRXN1	0.72	0.143	0.041	0.17	0.12
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0FA378947	NRXN1	0.72	0.143	0.041	0.17	0.12
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0CCB5F46B	NRXN1	0.72	0.143	0.041	0.17	0.12
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FDAB7BA8	DPP4	0.003	0.012	0.032	0.009	0.08
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0B1B18F2D	DPP4	0.003	0.012	0.032	0.009	0.08
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0CDAC688B	DPP4	0.003	0.012	0.032	0.009	0.08
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.023	0.635	0.027	0.111	0.08
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.023	0.635	0.027	0.111	0.08
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.048	0.509	0.471	0.335	0.56
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0C70ADA28	EPHA3	0.506	0.039	0.034	0.323	0.32
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.549	0.104	0.048	0.118	0.16
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.549	0.104	0.048	0.118	0.16
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.009	0.017	0.006	0.024	0.12
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS028688B7B	EPHA7	0.718	0.123	0.046	0.147	0.28
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS068ACD209	EPHB2	0.231	0.032	0.049	0.198	0.44
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0ECC9DF3E	EPHB2	0.231	0.032	0.049	0.198	0.44
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.099	0.085	0.368	0.549	0.6
EGFR	P00533	False	EGFR_HUMAN		CPI-SS004C23DCE	EGFR	0.099	0.085	0.368	0.549	0.6
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07E5C3060	EGFR	0.099	0.085	0.368	0.549	0.6
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0FC42EC80	ERBB4	0.875	0.072	0.073	0.058	0.08
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0BD5C2A23	ERBB4	0.875	0.072	0.073	0.058	0.08
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0D5E30C6C	ERBB4	0.875	0.072	0.073	0.058	0.08
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS0627D0E22	ERBB4	0.875	0.072	0.073	0.058	0.08
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0474E1C15	ADGRL3	0.633	0.195	0.04	0.28	0.36
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS038A612D7	ADGRL3	0.633	0.195	0.04	0.28	0.36
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0BCB3D402	ADGRL3	0.633	0.195	0.04	0.28	0.36
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0EA023E51	ADGRL3	0.633	0.195	0.04	0.28	0.36
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	0.633	0.195	0.04	0.28	0.36
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.335	0.933	0.322	0.719	0.4
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	0.335	0.933	0.322	0.719	0.4
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.335	0.933	0.322	0.719	0.4
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	0.335	0.933	0.322	0.719	0.4
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.002	0.001	0.0	0.0
HRH1	P35367	False	HRH1_HUMAN		CPI-CS0FF6E7611	HRH1	0.032	0.034	0.025	0.144	0.52
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS081E1A895	PTPRD	0.945	0.331	0.133	0.666	0.52
ALK	Q9UM73	False	ALK_HUMAN		CPI-SS05D7900BF	ALK	0.299	0.016	0.016	0.039	0.16
UNC5D	Q6UXZ4	False	UNC5D_HUMAN		CPI-SS0BA4E3F44	UNC5D	0.005	0.008	0.002	0.033	0.0
NTRK3	Q16288	False	NTRK3_HUMAN		CPI-SS05162C56B	NTRK3	0.005	0.033	0.002	0.028	0.08
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.384	0.839	0.04	0.186	0.56
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	0.054	0.37	0.023	0.033	0.12
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F67B526A	NRP2	0.241	0.925	0.108	0.336	0.52
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0FADCFDB9	PTGDR	0.002	0.003	0.0	0.024	0.16
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS01E3453DB	LGR4	0.701	0.214	0.237	0.204	0.24
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0ACAB1835	LGR4	0.701	0.214	0.237	0.204	0.24
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.005	0.003	0.157	0.068	0.08
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.005	0.003	0.157	0.068	0.08
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.008	0.01	0.007	0.068	0.04
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.008	0.01	0.007	0.068	0.04
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.005	0.007	0.015	0.001	0.0
ROBO1	Q9Y6N7	False	ROBO1_HUMAN		CPI-SS0A932EB77	ROBO1	0.582	0.962	0.506	0.781	0.88
ROBO2	Q9HCK4	False	ROBO2_HUMAN		CPI-SS0D0235DCE	ROBO2	0.53	0.305	0.364	0.589	0.6
TACR3	P29371	False	NK3R_HUMAN		CPI-SS015B70BF9	TACR3	0.002	0.001	0.022	0.007	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0EC8C81E0	KDR	0.49	0.961	0.057	0.135	0.2
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0FF2EEAE8	SFRP1	0.799	0.507	0.284	0.644	0.48
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0AC302C73	SFRP2	0.003	0.002	0.0	0.013	0.08
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS01503DD69	TYROBP	0.002	0.002	0.044	0.002	0.0
MRC1	P22897	False	MRC1_HUMAN		CPI-SS0822AEF5F	MRC1	0.004	0.039	0.032	0.002	0.0
IL1RAPL1	Q9NZN1	False	IRPL1_HUMAN		CPI-SS0F9F83827	IL1RAPL1	0.197	0.093	0.073	0.372	0.48
TRHR	P34981	False	TRFR_HUMAN		CPI-SS00F69C501	TRHR	0.001	0.0	0.0	0.0	0.0
