id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|SM	EC|CM	EC|EC	EC|EP	EC|PV	EC|SM	EP|CM	EP|EC	EP|EP	EP|PV	EP|SM	PV|CM	PV|EC	PV|EP	PV|PV	PV|SM	SM|CM	SM|EC	SM|EP	SM|PV	SM|SM
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.081	0.047	0.076	0.2	0.231	0.08	0.046	0.075	0.199	0.23	0.087	0.053	0.082	0.206	0.237	0.215	0.18	0.209	0.333	0.364	0.062	0.028	0.057	0.181	0.212
CPI-SS0731F750C	NLGN1_NRXN3	simple:Q8N2Q7	simple:Q9HDB5	NLGN1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.203	0.168	0.197	0.322	0.353	0.053	0.018	0.048	0.172	0.203	0.057	0.022	0.051	0.175	0.206	0.074	0.039	0.069	0.193	0.224	0.099	0.065	0.094	0.218	0.249
CPI-SS0F9118AB4	NLGN4X_NRXN3	simple:Q8N0W4	simple:Q9HDB5	NLGN4X	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.077	0.043	0.072	0.196	0.227	0.097	0.063	0.092	0.216	0.247	0.056	0.022	0.051	0.175	0.206	0.144	0.109	0.138	0.262	0.293	0.199	0.164	0.193	0.317	0.348
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.118	0.084	0.113	0.237	0.268	0.282	0.248	0.277	0.401	0.432	0.098	0.064	0.093	0.217	0.248	0.163	0.128	0.157	0.282	0.313	0.0	0.0	0.0	0.0	0.0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.059	0.06	0.088	0.096	0.234	0.158	0.158	0.187	0.195	0.333	0.075	0.076	0.104	0.112	0.25	0.12	0.121	0.149	0.157	0.295	0.159	0.159	0.188	0.196	0.334
CPI-SC0FE3CE9D1	APOA1_TREM2_receptor	simple:P02647	complex:TREM2_receptor	APOA1		True	False	True	curated	False	Ligand-Receptor	Signaling by Apolipoprotein	0.067	0.068	0.077	0.068	0.0	0.013	0.013	0.022	0.013	0.0	0.824	0.824	0.833	0.824	0.0	0.017	0.018	0.027	0.018	0.0	0.019	0.019	0.029	0.02	0.0
CPI-SC0412566F3	APOA2_TREM2_receptor	simple:P02652	complex:TREM2_receptor	APOA2		True	False	True	curated	False	Ligand-Receptor	Signaling by Apolipoprotein	0.011	0.011	0.021	0.012	0.0	0.013	0.013	0.023	0.013	0.0	0.861	0.862	0.871	0.862	0.0	0.012	0.012	0.022	0.013	0.0	0.015	0.015	0.025	0.016	0.0
CPI-SC0EFFE8ACB	APOB_TREM2_receptor	simple:P04114	complex:TREM2_receptor	APOB		True	False	True	curated	False	Ligand-Receptor	Signaling by Apolipoprotein	0.004	0.005	0.014	0.005	0.0	0.005	0.005	0.014	0.005	0.0	0.545	0.545	0.555	0.545	0.0	0.003	0.003	0.012	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC06C75F978	APOE_TREM2_receptor	simple:P02649	complex:TREM2_receptor	APOE		True	False	True	curated	False	Ligand-Receptor	Signaling by Apolipoprotein	0.271	0.271	0.281	0.271	0.0	0.082	0.082	0.091	0.082	0.0	0.813	0.813	0.823	0.814	0.0	0.7	0.7	0.709	0.7	0.0	0.591	0.591	0.601	0.592	0.0
CPI-SC046AFCFE9	CLU_TREM2_receptor	simple:P10909	complex:TREM2_receptor	CLU		True	False	True	curated	False	Ligand-Receptor		0.093	0.093	0.103	0.094	0.0	0.018	0.018	0.028	0.019	0.0	0.404	0.404	0.414	0.405	0.0	0.012	0.013	0.022	0.013	0.0	0.058	0.059	0.068	0.059	0.0
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.018	0.018	0.139	0.052	0.061	0.006	0.006	0.127	0.04	0.05	0.306	0.306	0.427	0.34	0.349	0.015	0.015	0.135	0.049	0.058	0.023	0.023	0.144	0.057	0.067
