Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	2/92	7.756530e-02	3.194299e-01	0	0	4.492063e+00	1.148457e+01	EGF;EMC10
GO_Biological_Process_2021	regulation of heart contraction (GO:0008016)	2/93	7.902008e-02	3.194299e-01	0	0	4.442476e+00	1.127524e+01	KCNIP2;TNNT2
GO_Biological_Process_2021	positive regulation of epithelial cell migration (GO:0010634)	2/94	8.048343e-02	3.194299e-01	0	0	4.393966e+00	1.107149e+01	EGF;EMC10
GO_Biological_Process_2021	negative regulation of ATPase activity (GO:0032780)	1/17	8.171463e-02	3.194299e-01	0	0	1.255303e+01	3.143934e+01	TNNT2
GO_Biological_Process_2021	tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1/17	8.171463e-02	3.194299e-01	0	0	1.255303e+01	3.143934e+01	EMC10
GO_Biological_Process_2021	positive regulation of DNA replication (GO:0045740)	1/17	8.171463e-02	3.194299e-01	0	0	1.255303e+01	3.143934e+01	EGF
GO_Biological_Process_2021	protein autoprocessing (GO:0016540)	1/17	8.171463e-02	3.194299e-01	0	0	1.255303e+01	3.143934e+01	MYRFL
GO_Biological_Process_2021	muscle tissue morphogenesis (GO:0060415)	1/17	8.171463e-02	3.194299e-01	0	0	1.255303e+01	3.143934e+01	TTN
GO_Biological_Process_2021	positive regulation of CREB transcription factor activity (GO:0032793)	1/18	8.630996e-02	3.323577e-01	0	0	1.181402e+01	2.894211e+01	TSSK4
GO_Biological_Process_2021	positive regulation of nitrogen compound metabolic process (GO:0051173)	1/20	9.543242e-02	3.620818e-01	0	0	1.056938e+01	2.483103e+01	EGF
GO_Biological_Process_2021	homologous chromosome segregation (GO:0045143)	1/22	1.044647e-01	3.799699e-01	0	0	9.561809e+00	2.159923e+01	RNF212B
GO_Biological_Process_2021	ERK1 and ERK2 cascade (GO:0070371)	1/23	1.089473e-01	3.799699e-01	0	0	9.126722e+00	2.023295e+01	EGF
GO_Biological_Process_2021	positive regulation of receptor internalization (GO:0002092)	1/23	1.089473e-01	3.799699e-01	0	0	9.126722e+00	2.023295e+01	EGF
GO_Biological_Process_2021	mitotic cell cycle checkpoint signaling (GO:0007093)	1/23	1.089473e-01	3.799699e-01	0	0	9.126722e+00	2.023295e+01	PLK5
GO_Biological_Process_2021	positive regulation of morphogenesis of an epithelium (GO:1905332)	1/23	1.089473e-01	3.799699e-01	0	0	9.126722e+00	2.023295e+01	EGF
GO_Biological_Process_2021	positive regulation of p38MAPK cascade (GO:1900745)	1/24	1.134077e-01	3.799699e-01	0	0	8.729469e+00	1.900201e+01	EMC10
GO_Biological_Process_2021	positive regulation of carbohydrate metabolic process (GO:0045913)	1/24	1.134077e-01	3.799699e-01	0	0	8.729469e+00	1.900201e+01	EGF
GO_Biological_Process_2021	cardiac muscle cell development (GO:0055013)	1/24	1.134077e-01	3.799699e-01	0	0	8.729469e+00	1.900201e+01	TTN
