id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS0CBB9D57D	LRFN5_PTPRF	simple:Q96NI6	simple:P10586	LRFN5	PTPRF	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.078	0.062	0.06	0.084	0.103	0.185	0.169	0.167	0.191	0.21	0.129	0.113	0.112	0.135	0.155	0.088	0.072	0.071	0.094	0.114	0.0	0.0	0.0	0.0	0.0
CPI-SS081E1A895	LRFN5_PTPRD	simple:Q96NI6	simple:P23468	LRFN5	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.07	0.176	0.131	0.121	0.096	0.177	0.283	0.238	0.228	0.203	0.121	0.228	0.182	0.172	0.148	0.08	0.187	0.141	0.131	0.107	0.0	0.0	0.0	0.0	0.0
CPI-SS08069FE13	NLGN3_PTPRD	simple:Q9NZ94	simple:P23468	NLGN3	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.045	0.152	0.106	0.096	0.071	0.048	0.155	0.109	0.099	0.074	0.047	0.153	0.108	0.098	0.073	0.045	0.151	0.106	0.096	0.071	0.0	0.0	0.0	0.0	0.0
CPI-SS0522C3A29	SLITRK1_PTPRD	simple:Q96PX8	simple:P23468	SLITRK1	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.047	0.154	0.108	0.098	0.074	0.051	0.158	0.112	0.102	0.078	0.049	0.155	0.11	0.1	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS044E718AF	SLITRK3_PTPRD	simple:O94933	simple:P23468	SLITRK3	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.047	0.153	0.108	0.098	0.073	0.06	0.167	0.121	0.112	0.087	0.051	0.158	0.112	0.102	0.077	0.046	0.152	0.107	0.097	0.072	0.1	0.206	0.161	0.151	0.126
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.248	0.249	0.248	0.0	0.0	1.028	1.029	1.028	0.0	0.0	0.649	0.65	0.649	0.0	0.0	0.401	0.402	0.401	0.0	0.0	0.438	0.438	0.438	0.0	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.07	0.071	0.07	0.0	0.0	0.439	0.44	0.44	0.0	0.0	0.149	0.15	0.149	0.0	0.0	0.118	0.119	0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07B3139A0	NMU_NMUR2	simple:P48645	simple:Q9GZQ4	NMU	NMUR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuromedin	0.0	0.001	0.001	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.046	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.767	0.178	0.574	0.973	0.509	0.813	0.224	0.62	1.019	0.555	0.775	0.186	0.583	0.981	0.517	0.772	0.184	0.58	0.979	0.514	0.0	0.0	0.0	0.0	0.0
CPI-SS0BD6EE954	PENK_OPRD1	simple:P01210	simple:P41143	PENK	OPRD1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.001	0.003	0.001	0.0	0.0	0.006	0.008	0.006	0.0	0.0	0.001	0.003	0.002	0.0	0.0	0.002	0.004	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
