gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EN_V	FB_V	PR	SM	UN
PTGER3	P43115	False	PE2R3_HUMAN		CPI-CS080C76630	PTGER3	0.019	0.033	0.008	0.007	0.0
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.034	0.013	0.014	0.023	0.105
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.009	0.033	0.009	0.003	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.009	0.033	0.009	0.003	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.844	0.132	0.346	0.334	0.316
HTR2B	P41595	False	5HT2B_HUMAN		CPI-CS09463D22E	HTR2B	0.008	0.011	0.008	0.007	0.0
HTR2C	P28335	False	5HT2C_HUMAN		CPI-CS0FBE83390	HTR2C	0.0	0.004	0.001	0.0	0.0
HTR7	P34969	False	5HT7R_HUMAN		CPI-CS059692236	HTR7	0.001	0.002	0.003	0.003	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.007	0.016	0.006	0.007	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS0CDDDEE9F	TACR1	0.007	0.016	0.006	0.007	0.0
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS0879B8E95	TNFRSF14	0.019	0.002	0.01	0.003	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.902	0.013	0.024	0.013	0.211
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0A10C2A8F	FRZB	0.114	0.235	0.225	0.095	0.0
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.114	0.235	0.225	0.095	0.0
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.114	0.235	0.225	0.095	0.0
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0DF9024C0	SFRP1	0.332	0.589	0.368	0.239	0.211
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.332	0.589	0.368	0.239	0.211
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.332	0.589	0.368	0.239	0.211
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0E9BE6A4E	SFRP2	0.035	0.095	0.032	0.02	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.035	0.095	0.032	0.02	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.035	0.095	0.032	0.02	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-CS09A35DD21	PTGIR	0.023	0.032	0.067	0.174	0.0
