gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EN_V	FB_V	PR	SM	UN
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0731F750C	NLGN1	0.001	0.004	0.003	0.002	0.0
NLGN3	Q9NZ94	False	NLGN3_HUMAN		CPI-SS07FBAAD8D	NLGN3	0.002	0.008	0.005	0.002	0.0
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	1.222	0.099	0.091	0.118	0.288
GJA1	P17302	False	CXA1_HUMAN		CPI-SS024F36886	GJA1	1.222	0.099	0.091	0.118	0.288
GJA5	P36382	False	CXA5_HUMAN		CPI-SS0ACFA4F22	GJA5	0.059	0.011	0.012	0.015	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	L1CAM	0.007	0.006	0.029	0.238	0.153
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.345	0.098	0.062	1.327	0.125
APP	P05067	False	A4_HUMAN		CPI-SS080C81D37	APP	1.906	1.639	1.257	1.219	0.48
APP	P05067	False	A4_HUMAN		CPI-SS0CB6F5575	APP	1.906	1.639	1.257	1.219	0.48
APLP2	Q06481	False	APLP2_HUMAN		CPI-SS0DF830287	APLP2	2.534	0.717	0.842	1.159	0.87
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.029	0.165	0.069	0.272	0.263
NTF4	P34130	False	NTF4_HUMAN		CPI-SS088C1035B	NTF4	0.001	0.005	0.001	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.004	0.042	0.007	0.015	0.0
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.002	0.001	0.0	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.0	0.007	0.003	0.005	0.0
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.007	0.032	0.008	0.01	0.0
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0D2DF7881	NLGN1	0.001	0.004	0.003	0.002	0.0
NLGN3	Q9NZ94	False	NLGN3_HUMAN		CPI-SS0613D0B62	NLGN3	0.002	0.008	0.005	0.002	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.051	0.321	0.091	0.127	0.143
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.002	0.006	0.003	0.0	0.0
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.004	0.042	0.008	0.0	0.0
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	EFNA2	0.019	0.047	0.038	0.045	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	EFNA3	0.018	0.025	0.008	0.014	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.103	0.156	0.092	0.051	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.809	0.545	0.748	0.305	0.616
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0D81D9F5E	EFNA2	0.019	0.047	0.038	0.045	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS079EF5D9C	EFNA3	0.018	0.025	0.008	0.014	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.103	0.156	0.092	0.051	0.0
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS01DCC7684	EFNA2	0.019	0.047	0.038	0.045	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0D5DBB634	EFNA3	0.018	0.025	0.008	0.014	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.103	0.156	0.092	0.051	0.0
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0830C7910	EFNA2	0.019	0.047	0.038	0.045	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0C8ED6F41	EFNA3	0.018	0.025	0.008	0.014	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0F6A01237	EFNA5	0.103	0.156	0.092	0.051	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.103	0.156	0.092	0.051	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.809	0.545	0.748	0.305	0.616
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	EFNB2	0.809	0.545	0.748	0.305	0.616
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.809	0.545	0.748	0.305	0.616
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS09B2ACA25	HBEGF	0.493	0.021	0.09	0.643	0.701
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02B906C26	NRG1	0.057	0.049	0.029	0.007	0.0
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS060B846D1	HBEGF	0.493	0.021	0.09	0.643	0.701
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.057	0.049	0.029	0.007	0.0
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.003	0.007	0.006	0.01	0.144
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS03E7FB333	HBEGF	0.493	0.021	0.09	0.643	0.701
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	FGF10	0.001	0.013	0.002	0.003	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	FGF2	0.02	0.037	0.015	0.046	0.18
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	FGF7	0.01	0.046	0.034	0.056	0.0
FLRT1	Q9NZU1	False	FLRT1_HUMAN		CPI-SS0813792B7	FLRT1	0.0	0.003	0.0	0.0	0.0
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS008E98D3E	FLRT2	0.023	0.155	0.048	0.051	0.2
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS019D9440E	NRXN1	0.107	0.592	0.18	0.048	0.165
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS05E4F3F47	NRXN3	0.009	0.031	0.021	0.013	0.0
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS085E3E37F	TENM1	0.026	0.127	0.036	0.023	0.0
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS09159B142	TENM2	0.004	0.017	0.011	0.057	0.0
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS04FD52559	TENM3	0.03	0.159	0.091	0.076	0.0
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0EC12EAD9	TENM4	0.016	0.06	0.055	0.026	0.0
FLRT1	Q9NZU1	False	FLRT1_HUMAN		CPI-SS0430C8A78	FLRT1	0.0	0.003	0.0	0.0	0.0
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.023	0.155	0.048	0.051	0.2
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS052641D5A	FLRT3	0.038	0.131	0.078	0.022	0.0
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.026	0.127	0.036	0.023	0.0
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.004	0.017	0.011	0.057	0.0
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.03	0.159	0.091	0.076	0.0
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.016	0.06	0.055	0.026	0.0
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.0	0.004	0.003	0.007	0.0
RLN1	P04808	False	REL1_HUMAN		CPI-SS0D3A5646A	RLN1	0.0	0.0	0.0	0.0	0.0
LRRC4C	Q9HCJ2	False	LRC4C_HUMAN		CPI-SS00373B59C	LRRC4C	0.055	0.346	0.109	0.065	0.0
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS0CBB9D57D	LRFN5	0.051	0.265	0.155	0.072	0.0
LRFN5	Q96NI6	False	LRFN5_HUMAN		CPI-SS081E1A895	LRFN5	0.051	0.265	0.155	0.072	0.0
NLGN3	Q9NZ94	False	NLGN3_HUMAN		CPI-SS08069FE13	NLGN3	0.002	0.008	0.005	0.002	0.0
SLITRK1	Q96PX8	False	SLIK1_HUMAN		CPI-SS0522C3A29	SLITRK1	0.006	0.014	0.01	0.0	0.0
SLITRK3	O94933	False	SLIK3_HUMAN		CPI-SS044E718AF	SLITRK3	0.006	0.033	0.014	0.003	0.112
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.496	2.056	1.298	0.802	0.875
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.139	0.878	0.298	0.236	0.0
NMU	P48645	False	NMU_HUMAN		CPI-SS07B3139A0	NMU	0.001	0.003	0.001	0.091	0.0
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.015	0.107	0.032	0.026	0.0
PENK	P01210	False	PENK_HUMAN		CPI-SS0BD6EE954	PENK	0.001	0.011	0.002	0.004	0.0
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.001	0.011	0.002	0.004	0.0
HCRT	O43612	False	OREX_HUMAN		CPI-SS02461AE98	HCRT	0.0	0.0	0.0	0.0	0.0
PTHLH	P12272	False	PTHR_HUMAN		CPI-SS0483CE4ED	PTHLH	0.026	0.015	0.006	0.022	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS02CCE14A7	ADCYAP1	0.001	0.002	0.001	0.0	0.0
SCT	P09683	False	SECR_HUMAN		CPI-SS0CB25BBAE	SCT	0.001	0.002	0.003	0.0	0.0
VIP	P01282	False	VIP_HUMAN		CPI-SS05B60E59C	VIP	0.009	0.015	0.001	0.003	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	1.406	0.129	0.431	0.216	0.326
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.023	0.083	0.035	0.05	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	1.406	0.129	0.431	0.216	0.326
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.023	0.083	0.035	0.05	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	1.406	0.129	0.431	0.216	0.326
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0F67B526A	SEMA3C	0.065	0.018	0.012	0.017	0.146
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.023	0.083	0.035	0.05	0.0
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.461	0.229	0.547	0.948	0.147
PDGFC	Q9NRA1	False	PDGFC_HUMAN		CPI-SS06DA9B4FE	PDGFC	0.033	0.123	0.071	0.151	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.001	0.003	0.002	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.022	0.172	0.027	0.304	0.0
SEMA4D	Q92854	False	SEM4D_HUMAN		CPI-SS0F7113A7D	SEMA4D	0.007	0.01	0.007	0.002	0.0
SLIT2	O94813	False	SLIT2_HUMAN		CPI-SS0D0235DCE	SLIT2	0.108	0.229	0.253	0.267	0.254
SST	P61278	False	SMS_HUMAN		CPI-SS05A3441B9	SST	0.0	0.0	0.0	0.0	0.0
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.109	0.574	0.182	0.117	0.128
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.023	0.083	0.035	0.05	0.0
VEGFC	P49767	False	VEGFC_HUMAN		CPI-SS0EC8C81E0	VEGFC	0.057	0.025	0.02	0.04	0.0
WNT16	Q9UBV4	False	WNT16_HUMAN		CPI-SS075B13211	WNT16	0.0	0.0	0.001	0.0	0.0
WNT2	P09544	False	WNT2_HUMAN		CPI-SS02704D1B8	WNT2	0.0	0.0	0.001	0.0	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.003	0.004	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.154	0.257	0.121	0.093	0.0
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS05C7CF827	WNT5B	0.0	0.006	0.002	0.018	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS03BC3A729	WNT7B	0.001	0.001	0.0	0.0	0.0
WNT16	Q9UBV4	False	WNT16_HUMAN		CPI-SS050A950B9	WNT16	0.0	0.0	0.001	0.0	0.0
WNT2	P09544	False	WNT2_HUMAN		CPI-SS01E6C2BB8	WNT2	0.0	0.0	0.001	0.0	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.003	0.004	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.154	0.257	0.121	0.093	0.0
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0FF2EEAE8	WNT5B	0.0	0.006	0.002	0.018	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0FE9D6F11	WNT7B	0.001	0.001	0.0	0.0	0.0
WNT16	Q9UBV4	False	WNT16_HUMAN		CPI-SS0C2782258	WNT16	0.0	0.0	0.001	0.0	0.0
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0C95AC883	WNT2	0.0	0.0	0.001	0.0	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.003	0.004	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.154	0.257	0.121	0.093	0.0
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS0AC302C73	WNT5B	0.0	0.006	0.002	0.018	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS08F783A87	WNT7B	0.001	0.001	0.0	0.0	0.0
WNT16	Q9UBV4	False	WNT16_HUMAN		CPI-SS0D192A275	WNT16	0.0	0.0	0.001	0.0	0.0
WNT2	P09544	False	WNT2_HUMAN		CPI-SS017D5AA63	WNT2	0.0	0.0	0.001	0.0	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS068E97BDA	WNT4	0.003	0.004	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03C93A8FE	WNT5A	0.154	0.257	0.121	0.093	0.0
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS02682D84C	WNT5B	0.0	0.006	0.002	0.018	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D10CE481	WNT7B	0.001	0.001	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS073F3FAD5	WNT5A	0.154	0.257	0.121	0.093	0.0
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	1.643	0.077	0.229	0.317	0.596
FTH1	P02794	False	FRIH_HUMAN		CPI-SS018AC8F36	FTH1	3.06	3.328	3.432	3.181	2.146
FTL	P02792	False	FRIL_HUMAN		CPI-SS00577086D	FTL	3.859	3.22	3.253	3.504	1.851
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0F9F83827	PTPRD	0.088	0.301	0.21	0.19	0.141
RBP4	P02753	False	RET4_HUMAN		CPI-SS0ABEE4D3D	RBP4	0.0	0.003	0.001	0.0	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	1.487	0.019	0.029	0.02	0.673
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	1.487	0.019	0.029	0.02	0.673
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	1.487	0.019	0.029	0.02	0.673
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	1.487	0.019	0.029	0.02	0.673
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB	CPI-CC06F5021B7	RARB	0.001	0.01	0.001	0.0	0.0
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB	CPI-CC021B19C0E	RARB	0.001	0.01	0.001	0.0	0.0
RARB	P10826	True	RARB_HUMAN	RAreceptor_RARB	CPI-CC039D8C2A7	RARB	0.001	0.01	0.001	0.0	0.0
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB	CPI-CC06F5021B7	CRABP2	0.001	0.01	0.001	0.0	0.0
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB	CPI-CC021B19C0E	CRABP2	0.001	0.01	0.001	0.0	0.0
CRABP2	P29373	True	RABP2_HUMAN	RAreceptor_RARB	CPI-CC039D8C2A7	CRABP2	0.001	0.01	0.001	0.0	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.009	0.031	0.021	0.013	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0EEFFA23C	NRXN3	0.009	0.031	0.021	0.013	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.009	0.031	0.021	0.013	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.009	0.031	0.021	0.013	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0731F750C	NRXN3	0.009	0.031	0.021	0.013	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS07FBAAD8D	NRXN3	0.009	0.031	0.021	0.013	0.0
GJA5	P36382	False	CXA5_HUMAN		CPI-SS024F36886	GJA5	0.059	0.011	0.012	0.015	0.0
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.217	0.136	1.089	0.846	0.147
CD74	P04233	False	HG2A_HUMAN		CPI-SS080C81D37	CD74	0.01	0.042	0.01	0.0	0.0
PLXNA4	Q9HCM2	False	PLXA4_HUMAN		CPI-SS0CB6F5575	PLXNA4	0.044	0.112	0.144	0.082	0.0
PLXNA4	Q9HCM2	False	PLXA4_HUMAN		CPI-SS0DF830287	PLXNA4	0.044	0.112	0.144	0.082	0.0
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.033	0.111	0.083	0.252	0.0
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS088C1035B	NTRK2	0.033	0.111	0.083	0.252	0.0
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.107	0.592	0.18	0.048	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.107	0.592	0.18	0.048	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.107	0.592	0.18	0.048	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.107	0.592	0.18	0.048	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0D2DF7881	NRXN1	0.107	0.592	0.18	0.048	0.165
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0613D0B62	NRXN1	0.107	0.592	0.18	0.048	0.165
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	1.41	0.036	0.132	0.038	0.113
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	1.41	0.036	0.132	0.038	0.113
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.017	0.091	0.073	0.016	0.113
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.104	0.174	0.461	0.224	0.383
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0E63AB61E	EPHA4	0.059	0.236	0.055	0.035	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS05B4EB419	EPHA4	0.059	0.236	0.055	0.035	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.059	0.236	0.055	0.035	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.059	0.236	0.055	0.035	0.0
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS0D81D9F5E	EPHA5	0.001	0.005	0.001	0.003	0.153
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS079EF5D9C	EPHA5	0.001	0.005	0.001	0.003	0.153
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.001	0.005	0.001	0.003	0.153
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS01DCC7684	EPHA7	0.042	0.079	0.038	0.024	0.0
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS0D5DBB634	EPHA7	0.042	0.079	0.038	0.024	0.0
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS028688B7B	EPHA7	0.042	0.079	0.038	0.024	0.0
EPHA8	P29322	False	EPHA8_HUMAN		CPI-SS0830C7910	EPHA8	0.0	0.0	0.0	0.0	0.0
EPHA8	P29322	False	EPHA8_HUMAN		CPI-SS0C8ED6F41	EPHA8	0.0	0.0	0.0	0.0	0.0
EPHA8	P29322	False	EPHA8_HUMAN		CPI-SS0F6A01237	EPHA8	0.0	0.0	0.0	0.0	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS068ACD209	EPHB2	0.005	0.028	0.011	0.013	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0ECC9DF3E	EPHB2	0.005	0.028	0.011	0.013	0.0
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS082ABF1EA	EPHB3	0.028	0.104	0.076	0.045	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.02	0.074	0.099	0.054	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09B2ACA25	EGFR	0.071	0.292	0.277	0.108	0.0
