id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|UN
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.604	1.204	0.421	0.467	0.494	0.411	1.011	0.228	0.273	0.301	0.875	1.475	0.692	0.737	0.765	0.796	1.396	0.613	0.658	0.686	0.624	1.224	0.441	0.486	0.514
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.126	0.011	0.013	0.037	0.072	0.148	0.033	0.035	0.059	0.094	0.126	0.011	0.013	0.037	0.072	0.132	0.017	0.019	0.044	0.079	0.133	0.018	0.02	0.044	0.079
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.12	0.005	0.007	0.032	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.007	0.009	0.034	0.069
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.131	0.016	0.018	0.043	0.078	0.0	0.0	0.0	0.0	0.0	0.137	0.022	0.024	0.049	0.084	0.194	0.079	0.081	0.106	0.141	0.127	0.012	0.014	0.038	0.073
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.12	0.005	0.007	0.032	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.005	0.007	0.032	0.067	0.122	0.007	0.009	0.034	0.069
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.762	0.335	0.088	0.646	0.281	0.784	0.357	0.111	0.668	0.303	0.762	0.335	0.089	0.646	0.281	0.769	0.341	0.095	0.652	0.288	0.769	0.342	0.096	0.653	0.288
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.756	0.329	0.083	0.64	0.276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.759	0.331	0.085	0.642	0.278
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.768	0.34	0.094	0.652	0.287	0.0	0.0	0.0	0.0	0.0	0.774	0.346	0.1	0.658	0.293	0.831	0.404	0.157	0.715	0.35	0.763	0.336	0.089	0.647	0.282
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.757	0.329	0.083	0.641	0.276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.757	0.33	0.083	0.641	0.276	0.759	0.331	0.085	0.643	0.278
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006	0.0	0.0	0.0	0.008	0.028	0.0	0.0	0.0	0.03	0.006	0.0	0.0	0.0	0.008	0.013	0.0	0.0	0.0	0.015	0.013	0.0	0.0	0.0	0.015
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.012	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.02	0.075	0.0	0.0	0.0	0.077	0.007	0.0	0.0	0.0	0.009
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.003	0.003	0.0	0.0	0.0	0.005
CPI-SC0BDF87EA3	GDNF_RET_receptor_1	simple:P39905	complex:RET_receptor_1	GDNF		True	False	True	curated	False	Ligand-Receptor		0.001	0.006	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.007	0.0	0.002	0.0	0.001	0.006	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.003	0.898	0.0	0.034	0.008	0.898	1.794	0.0	0.93	0.904	0.0	0.0	0.0	0.0	0.0	0.034	0.93	0.0	0.066	0.04	0.008	0.904	0.0	0.04	0.014
