gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
CTTNBP2NL	0.17388287	0.16847847	0.1683366733466934	0.44355756	0.6416666666666667	1.3960263	10.644072	1
CAPZA1	0.56752145	0.56151325	0.48730794923179693	0.86734265	0.8666666666666667	0.6271914	9.882246	1
RHOC	0.82249624	0.8089412	0.6357715430861723	1.4989028	0.975	0.88971806	30.989761	1
LINC01357	0.006869532	0.0070072142	0.007682030728122912	-1.0186341e-10	0.0	-6.1512136	10.293942	1
NRAS	0.13228193	0.12818004	0.13076152304609218	0.3369565	0.5	1.3936937	7.4105372	1
SIKE1	0.31328768	0.31019402	0.2940881763527054	0.46765098	0.7	0.59210473	5.0659947	1
CASQ2	0.0072791683	0.00742506	0.007849031396125585	-1.0186341e-10	0.0	-6.2336326	10.757792	1
SRGAP2C	0.05648243	0.05230495	0.05494321977287909	0.26494455	0.425	2.3384597	9.544185	1
LINC02798	0.0047203745	0.0048149875	0.00501002004008016	-1.0186341e-10	0.0	-5.6191173	6.964654	1
SRGAP2B	0.027008709	0.023286318	0.02488309953239813	0.21275136	0.35	3.1861098	9.210385	1
CD160	0.005223041	0.0053277276	0.0056780227120908485	-1.0186341e-10	0.0	-5.762278	7.7659593	1
ANKRD35	0.0038252112	0.0039018851	0.003841015364061456	-1.0186341e-10	0.0	-5.3226094	5.682578	1
LIX1L-AS1	0.016083373	0.016405702	0.017702070808283232	-1.0186341e-10	0.0	-7.3668222	23.05391	1
NBPF10	0.013722778	0.0139978	0.01419505678022712	-1.0186341e-10	0.0	-7.1393275	18.796728	1
AC239809.3	0.0053378353	0.0054448224	0.005511022044088177	-1.0186341e-10	0.0	-5.793071	7.740495	1
PDE4DIP	0.9986634	1.0063788	0.7181028724114896	0.61370265	0.7166666666666667	-0.71346986	14.810402	1
HIST2H2BF	0.007412014	0.007560568	0.008183032732130929	-1.0186341e-10	0.0	-6.259381	10.830093	1
APH1A	0.25399068	0.24870124	0.24331997327989313	0.517922	0.6833333333333333	1.0580196	9.595588	1
C1orf54	0.26728135	0.26223484	0.2516700066800267	0.51909304	0.675	0.98486173	8.160171	1
ENSA	0.18758994	0.18339914	0.18236472945891782	0.3967052	0.6083333333333333	1.1126575	8.459998	1
CDC42SE1	0.21938717	0.21555942	0.21225784903139613	0.41038254	0.6083333333333333	0.9285661	6.3371224	1
MLLT11	0.71629554	0.71005726	0.5691382765531062	1.0276102	0.85	0.53322303	7.382747	1
PSMB4	0.59461164	0.58697826	0.49916499665998665	0.97552675	0.9083333333333333	0.73277646	14.273064	1
TUFT1	0.007733632	0.007888631	0.008350033400133601	-1.0186341e-10	0.0	-6.319878	11.370206	1
AL365436.2	0.0055956254	0.0057077785	0.006012024048096192	-1.0186341e-10	0.0	-5.859916	8.329461	1
S100A10	0.3451693	0.29936242	0.25367401469605877	2.6309345	1.0	3.135183	44.55244	1
S100A11	0.79683614	0.7622984	0.5711422845691383	2.5202584	1.0	1.7250118	44.55244	1
S100A6	0.5008522	0.46190566	0.3653974615898464	2.4442933	0.9333333333333333	2.403494	41.44659	1
S100A3	0.0035246902	0.000115759605	0.00016700066800267202	0.17363039	0.275	9.65321	8.079471	1
S100A16	0.43471912	0.42172283	0.3847695390781563	1.0832356	0.925	1.3607713	27.312704	1
S100A13	0.7717886	0.7604503	0.5943553774215097	1.3375721	0.9583333333333334	0.81460893	24.346813	1
AL162258.2	0.0041595753	0.0042429497	0.004342017368069473	-1.0186341e-10	0.0	-5.4406047	6.1118646	1
NPR1	0.0023826754	0.00015652273	0.00016700066800267202	0.11346772	0.18333333333333332	8.790251	5.56131	1
SLC27A3	0.041662972	0.035529613	0.0364061456245825	0.34771365	0.49166666666666664	3.2871656	13.021315	1
AL358472.5	0.004069891	0.004151468	0.004342017368069473	-1.0186341e-10	0.0	-5.4098907	6.2548137	1
SLC39A1	0.13464057	0.13057096	0.1319305277221109	0.3377037	0.5333333333333333	1.3702465	8.375911	1
RAB13	0.9267953	0.9127176	0.687374749498998	1.6292931	0.9833333333333333	0.8359362	33.551174	1
TPM3	0.39421973	0.36768967	0.3333333333333333	1.7180661	1.0	2.2239168	44.55244	1
