gene	mean	CM_4_mean	CM_4_positive_frac	CM_5_mean	CM_5_positive_frac	log2FC	-log10 p-val	is_significant
P3H2-AS1	0.014355275	0.01689597	0.02592852137351086	0.010631684	0.0061633281972265025	-0.66331625	1.0219649	0
CLDN1	0.0063465904	0.006030719	0.0094604064470918	0.0068105115	0.0030816640986132513	0.1727362	0.095980786	0
CLDN16	0.001212122	0.00087681046	0.001401541695865452	0.001703565	0.001027221366204417	0.88470083	0.28160533	0
TMEM207	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
IL1RAP	0.081168815	0.09522876	0.13665031534688157	0.06056683	0.03133025166923472	-0.6520036	3.6894534	0
AC108747.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02013	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
GMNC	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
OSTN	0.0021331604	0.0035883107	0.005956552207428171	1.3969839e-09	0.0	-5.2048683	4.0245266	0
OSTN-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
UTS2B	0.0006334636	0.0010656827	0.001401541695865452	1.3969839e-09	0.0	-3.5430832	1.2878531	0
CCDC50	0.35888025	0.47273448	0.5329362298528382	0.19196679	0.0970724191063174	-1.2997271	44.55244	1
AC073365.1	0.0001178874	0.00019829889	0.000350385423966363	1.3969839e-09	0.0	-1.5767385	0.4984112	0
PYDC2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC026320.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC026320.3	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
FGF12	0.005833473	0.0064192456	0.01051156271899089	0.0049757315	0.002054442732408834	-0.3610893	0.21698062	0
FGF12-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
FGF12-AS2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
FGF12-AS3	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
MB21D2	0.016103892	0.017254837	0.02592852137351086	0.014417329	0.007190549563430919	-0.25756174	0.27072352	0
AC092966.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
PLAAT1	0.15192749	0.22307111	0.2964260686755431	0.04761981	0.022598870056497175	-2.22549	44.55244	1
ATP13A5	0.00020710757	0.00034838513	0.000350385423966363	1.3969839e-09	0.0	-2.1647184	0.49842328	0
ATP13A5-AS1	0.0046235733	0.0077783354	0.010861948142957253	1.3969839e-09	0.0	-6.299799	7.0277004	1
ATP13A4	0.0021506548	0.0015548534	0.002452697967764541	0.00302395	0.001027221366204417	0.916668	0.293668	0
ATP13A4-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
OPA1	0.25356725	0.35029224	0.4288717589348283	0.11176486	0.05649717514124294	-1.6472138	44.55244	1
OPA1-AS1	0.00010621815	0.00017866888	0.000350385423966363	1.3969839e-09	0.0	-1.4785318	0.49839485	0
AC069421.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC069421.3	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02038	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02026	0.0009547768	0.0016060333	0.002102312543798178	1.3969839e-09	0.0	-4.0925536	1.674381	0
AC024559.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02028	0.004369031	0.003369543	0.004905395935529082	0.005834372	0.0025680534155110425	0.77434963	0.40863332	0
AC024559.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC080129.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC080129.2	0.0015233377	0.0021466538	0.002452697967764541	0.00060951913	0.0005136106831022085	-1.6628643	0.8788854	0
HES1	0.42693493	0.59665805	0.5609670637701472	0.17812738	0.08012326656394453	-1.7434272	44.55244	1
LINC02036	0.0003366477	0.0005663379	0.001051156271899089	1.3969839e-09	0.0	-2.7362337	1.0394555	0
LINC02037	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC02048	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC00887	0.0016289463	0.0012975413	0.002102312543798178	0.0021145814	0.001027221366204417	0.6641432	0.21620439	0
AC117469.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
CPN2	0.0010999121	-3.6379788e-10	0.0	0.0027122174	0.001027221366204417	4.8136415	0.79770046	0
LRRC15	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
GP5	0.00040269335	0.0006774809	0.000700770847932726	1.3969839e-09	0.0	-2.958787	0.75800407	0
ATP13A3	0.86485994	1.0160849	0.8244569025928521	0.6432684	0.275808936825886	-0.659446	40.852604	1
LINC00884	0.06009183	0.059045866	0.08409250175192712	0.061621074	0.029789419619928096	0.061485738	0.110007085	0
AC108676.1	0.0023453527	0.0017812063	0.002803083391730904	0.003172194	0.0015408320493066256	0.79860026	0.2968707	0
TMEM44-AS1	0.07638479	0.09031937	0.12438682550805887	0.05596645	0.02773497688751926	-0.68949413	3.7391589	0
TMEM44	0.07253478	0.08015553	0.11527680448493342	0.061366074	0.030816640986132512	-0.38481042	1.3826586	0
AC046143.1	0.009464316	0.012764902	0.0189208128941836	0.0046270504	0.0025680534155110425	-1.4444283	2.469519	0
AC046143.2	0.00044239836	0.00074427266	0.001051156271899089	1.3969839e-09	0.0	-3.077689	1.0368463	0
LSG1	0.1434609	0.18428366	0.25332866152768047	0.0836004	0.04160246533127889	-1.1394043	17.827572	1
FAM43A	0.033788826	0.029032344	0.042747021723896286	0.04075795	0.01746276322547509	0.48799518	0.90829563	0
AC106706.1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
AC106706.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
LINC01968	0.00015039626	0.00025298534	0.000350385423966363	1.3969839e-09	0.0	-1.8195882	0.49842227	0
LINC01972	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
