gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
DTL	0.013527313	0.013614177	0.017094017094017096	0.010051285	0.02631578947368421	-0.43400568	0.20190258	0
AL606468.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC02608	0.0048220316	0.0049424996	0.006245890861275477	-7.2759576e-11	0.0	-5.6560683	4.6279726	0
PPP2R5A	0.1875435	0.18638417	0.20973044049967127	0.23393486	0.34210526315789475	0.32767025	0.6063638	0
AL360091.2	0.00021420346	-1.1568773e-09	0.0	0.008788034	0.013157894736842105	6.4738092	0.4941372	0
AL360091.3	0.0009291124	0.00095232745	0.0013149243918474688	-7.2759576e-11	0.0	-3.3955128	1.3040923	0
AL360091.1	0.00024871432	0.00025492767	0.0003287310979618672	-7.2759576e-11	0.0	-1.8275261	0.49841154	0
PACC1	0.079706356	0.07995415	0.09598948060486522	0.06978201	0.10526315789473684	-0.19605505	0.16036096	0
AC092803.3	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
NENF	0.42867702	0.42814633	0.43754109138724523	0.4499021	0.5131578947368421	0.07149085	0.15394256	0
LINC02771	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC092803.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01740	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC092803.1	0.0067119063	0.0068796137	0.009204470742932281	-7.2759576e-11	0.0	-6.1250763	6.2487793	1
AC092803.4	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
ATF3	0.113991335	0.11451072	0.12590401051939515	0.09320934	0.11842105263157894	-0.29664862	0.27912948	0
AL590648.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
FAM71A	0.00022598487	0.00023163037	0.0003287310979618672	-7.2759576e-11	0.0	-1.7295772	0.49842775	0
LINC02773	0.0021742142	0.0020313808	0.0023011176857330702	0.007891173	0.013157894736842105	1.9066188	0.33513793	0
BATF3	0.011148587	0.010528256	0.013149243918474688	0.03597887	0.039473684210526314	1.7632493	0.59514713	0
NSL1	0.27307716	0.273362	0.304404996712689	0.26166224	0.34210526315789475	-0.063083366	0.0837482	0
TATDN3	0.07321322	0.07340327	0.09138724523339908	0.06560051	0.10526315789473684	-0.16190386	0.12778714	0
