gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MCTP1	0.05396732	0.05873423	0.06903353057199212	0.018849501	0.024213075060532687	-1.634496	7.296727	1
ELL2	0.09742079	0.08505427	0.10355029585798817	0.18851389	0.2009685230024213	1.1472851	6.310836	1
RGMB-AS1	0.0055005196	0.006247414	0.007889546351084813	3.0559022e-10	0.0	-5.9880924	5.40289	1
ST8SIA4	0.29109535	0.27584782	0.29520052596975677	0.40339065	0.39951573849878935	0.54813975	5.1721115	1
SLCO4C1	0.014217629	0.016019229	0.0190664036817883	0.00094854395	0.002421307506053269	-3.9423234	9.621051	1
EFNA5	0.09482382	0.10315171	0.12656147271531887	0.033491917	0.04116222760290557	-1.6199796	11.276051	1
SLC25A46	0.23859535	0.2488708	0.2781065088757396	0.1628919	0.19854721549636803	-0.6111764	5.356047	1
CAMK4	0.03709783	0.041719828	0.059500328731097965	0.0030494235	0.007263922518159807	-3.7310274	24.984259	1
YTHDC2	0.14506982	0.15574968	0.1873767258382643	0.06641331	0.08716707021791767	-1.2284402	11.535217	1
HSD17B4	0.34610394	0.36294392	0.3859303090072321	0.22205037	0.25907990314769974	-0.70860755	9.912507	1
PRR16	0.013087396	0.014609568	0.020381328073635765	0.0018764752	0.002421307506053269	-2.8957531	5.4992037	1
PPIC	0.9078842	0.95315534	0.760026298487837	0.5744816	0.5326876513317191	-0.7303509	29.303461	1
PRDM6	0.019562399	0.021974009	0.030243261012491782	0.0018002319	0.002421307506053269	-3.5381014	10.54552	1
MEGF10	0.023554644	0.02659712	0.03714661406969099	0.0011457399	0.002421307506053269	-4.4216094	18.437052	1
ADAMTS19	0.0518233	0.05646928	0.07034845496383958	0.017596148	0.026634382566585957	-1.6765835	8.208751	1
P4HA2	0.44915608	0.41063312	0.4178172255095332	0.73289406	0.639225181598063	0.83560026	19.751099	1
AC008608.2	0.012482469	0.013978168	0.01873767258382643	0.0014665424	0.002421307506053269	-3.167804	6.6287436	1
PITX1	0.0135435965	0.015382467	0.022353714661406968	3.0559022e-10	0.0	-7.274487	14.167827	1
TGFBI	0.07093467	0.07812029	0.09664694280078895	0.018001527	0.021791767554479417	-2.1114316	13.807931	1
