gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
KIR2DL1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
KIR2DL4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
KIR3DL1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
KIR3DL2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
FCAR	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC245128.3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NCR1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP7	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
NLRP2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC011476.3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
GP6	0.0009939176	-7.2759576e-11	0.0	0.0011288064	0.0017857142857142857	3.6191866	0.4979296	0
RDH13	0.04893906	0.025721742	0.039473684210526314	0.052090023	0.06964285714285715	1.0151877	0.86445147	0
EPS8L1	0.16165785	0.050869204	0.07894736842105263	0.17669347	0.22678571428571428	1.7943672	5.9717793	1
PPP1R12C	0.13845842	0.09932627	0.14473684210526316	0.14376926	0.18571428571428572	0.5330595	0.72224885	0
AC010327.8	0.0013510864	-7.2759576e-11	0.0	0.0015344482	0.0017857142857142857	4.0307326	0.4979236	0
TNNT1	0.0020660865	-7.2759576e-11	0.0	0.0023464838	0.0035714285714285713	4.612639	0.78708565	0
TNNI3	0.002406757	0.009433818	0.013157894736842105	0.0014530794	0.0017857142857142857	-2.6179225	0.3918731	0
