gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
AL450313.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC00838	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02629	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
PARD3	0.031761847	0.033508576	0.057971014492753624	0.031469997	0.04116222760290557	-0.09027535	0.040700667	0
PARD3-AS1	0.0044147023	-5.820766e-11	0.0	0.005152268	0.004842615012106538	5.7148695	0.79870176	0
LINC02635	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
CUL2	0.366209	0.30936286	0.37681159420289856	0.3757055	0.39709443099273606	0.28021994	0.58405393	0
AL392046.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
CREM	1.2612891	0.8816654	0.7101449275362319	1.3247123	0.8159806295399515	0.5873212	5.6792555	1
AL117336.1	0.0073609236	0.017479038	0.014492753623188406	0.005670507	0.009685230024213076	-1.6070861	0.29483047	0
LINC02634	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
CCNY	0.80201226	0.8949904	0.7101449275362319	0.78647923	0.648910411622276	-0.18644132	0.641611	0
AL117336.2	0.004427467	-5.820766e-11	0.0	0.0051671653	0.007263922518159807	5.7189555	1.012729	0
AL603824.1	0.004400941	-5.820766e-11	0.0	0.005136207	0.007263922518159807	5.710451	1.0397863	0
AL121749.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
GJD4	0.0012332901	-5.820766e-11	0.0	0.001439336	0.002421307506053269	3.944237	0.4977143	0
FZD8	0.059294175	0.064769655	0.08695652173913043	0.058379535	0.07021791767554479	-0.14961198	0.079734065	0
AL121749.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
PCAT5	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02630	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL355300.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL590730.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL390061.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ANKRD30A	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL157387.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
MTRNR2L7	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL132657.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ZNF248	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL132657.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL135791.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ZNF25	0.067940906	0.03447363	0.043478260869565216	0.07353232	0.08958837772397095	1.090667	0.9936702	0
ZNF25-DT	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ZNF33A	0.20466006	0.26099017	0.2898550724637681	0.19524904	0.21307506053268765	-0.41849387	0.59853244	0
ZNF37A	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL117339.4	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL133216.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
IGKV1OR10-1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC00839	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ZNF33B	0.084246136	0.13098761	0.17391304347826086	0.07643721	0.08958837772397095	-0.77629817	0.7692329	0
AL022345.4	0.006460167	-5.820766e-11	0.0	0.0075394684	0.009685230024213076	6.255401	1.2917902	0
LINC01518	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02632	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL022344.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
BMS1	0.3576475	0.29956642	0.34782608695652173	0.36735076	0.38498789346246975	0.29419345	0.59283936	0
LINC02623	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC01264	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
RET	0.0027324706	0.011125624	0.014492753623188406	0.0013302165	0.002421307506053269	-2.97249	0.41454497	0
AC010864.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
CSGALNACT2	0.15698525	0.10208137	0.13043478260869565	0.16615812	0.1864406779661017	0.70229256	1.0195808	0
RASGEF1A	0.0015645816	-5.820766e-11	0.0	0.0018259767	0.002421307506053269	4.267519	0.49771714	0
LINC02633	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AC068707.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FXYD4	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
HNRNPF	0.69068307	0.71887946	0.6666666666666666	0.685973	0.6077481840193705	-0.06758851	0.17619085	0
AL450326.1	0.028614262	0.029281773	0.043478260869565216	0.028502658	0.03389830508474576	-0.038772184	0.013567091	0
