gene	mean	HO_mean	HO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
LYPLA2	0.38469782	0.390344	0.5394736842105263	0.37847927	0.37681159420289856	-0.044520184	0.05528886	0
GALE	0.21425596	0.27681112	0.39473684210526316	0.14535536	0.14492753623188406	-0.92884654	1.4037311	0
HMGCL	0.24243495	0.25641337	0.34210526315789475	0.22703907	0.2608695652173913	-0.1754581	0.18081869	0
FUCA1	0.09564909	0.08087038	0.11842105263157894	0.111927025	0.14492753623188406	0.46838054	0.3054891	0
CNR2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL590609.3	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
PNRC2	0.531724	0.54626215	0.6447368421052632	0.5157109	0.5072463768115942	-0.083015256	0.14061132	0
SRSF10	0.5767412	0.5918995	0.6578947368421053	0.5600451	0.5507246376811594	-0.07979536	0.14155088	0
AL591178.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
MYOM3	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL591178.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
IL22RA1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
IFNLR1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC02800	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL138902.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
GRHL3	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
STPG1	0.04309042	0.061482508	0.07894736842105263	0.022832338	0.028985507246376812	-1.4251372	0.6688765	0
NIPAL3	0.06805187	0.06777747	0.10526315789473684	0.06835397	0.08695652173913043	0.012201506	0.0054256953	0
RCAN3AS	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
RCAN3	0.1368668	0.18358457	0.21052631578947367	0.08540991	0.11594202898550725	-1.1030669	1.1863353	0
NCMAP-DT	0.01609107	0.011426502	0.013157894736842105	0.021228937	0.028985507246376812	0.8878573	0.2144261	0
NCMAP	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SRRM1	0.9877353	0.91156113	0.7236842105263158	1.0716374	0.8405797101449275	0.23338182	0.9214291	0
AL445648.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
CLIC4	0.47215927	0.45848575	0.5131578947368421	0.4872203	0.4927536231884058	0.08767875	0.1292132	0
RUNX3	0.008233757	-7.2759576e-11	0.0	0.017302822	0.014492753623188406	7.4431787	0.49369013	0
AL445471.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL445471.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC02793	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL050344.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL031432.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SYF2	0.64105195	0.6892831	0.6842105263157895	0.5879278	0.5797101449275363	-0.2294215	0.51979285	0
AL031432.4	0.013472926	0.014087063	0.013157894736842105	0.012796474	0.014492753623188406	-0.1375993	0.024095574	0
AL031432.5	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
RSRP1	0.5888602	0.54319394	0.5657894736842105	0.63915896	0.5797101449275363	0.23466748	0.48765656	0
AL031432.3	0.0043683215	-7.2759576e-11	0.0	0.009179805	0.014492753623188406	6.5360236	0.49369022	0
RHD	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TMEM50A	0.9885117	1.0091301	0.8552631578947368	0.96580076	0.7101449275362319	-0.063308336	0.16462371	0
RHCE	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
MACO1	0.37382704	0.40978312	0.5526315789473685	0.3342238	0.4057971014492754	-0.29396653	0.5302164	0
LDLRAP1	0.03957747	0.028841447	0.05263157894736842	0.051402714	0.057971014492753624	0.83151144	0.34968108	0
AL606491.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
MAN1C1	0.01336161	-7.2759576e-11	0.0	0.028078744	0.028985507246376812	8.138465	0.77517307	0
AL031280.1	0.0072025917	0.013741772	0.013157894736842105	-5.820766e-11	0.0	-7.1128855	0.49413684	0
SELENON	0.19875212	0.18549103	0.25	0.21335913	0.2463768115942029	0.20183288	0.17735605	0
AL020996.1	0.0057599167	0.008061662	0.013157894736842105	0.003224644	0.014492753623188406	-1.2956631	0.23752059	0
MTFR1L	0.21838553	0.22285277	0.3157894736842105	0.21346574	0.2608695652173913	-0.06205791	0.0540837	0
AL020996.3	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AUNIP	0.0025544558	0.004873645	0.013157894736842105	-5.820766e-11	0.0	-5.6362324	0.49413636	0
AL033528.2	0.0054193605	0.010339554	0.013157894736842105	-5.820766e-11	0.0	-6.7059174	0.49413684	0
PAQR7	0.082463175	0.06528123	0.10526315789473684	0.10138812	0.11594202898550725	0.6343625	0.4206701	0
STMN1	1.2893056	1.2438804	0.868421052631579	1.3393389	0.8405797101449275	0.10666501	0.3689218	0
PAFAH2	0.033746965	0.02594603	0.039473684210526314	0.04233934	0.043478260869565216	0.70433885	0.21793833	0
EXTL1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SLC30A2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL391650.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TRIM63	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
PDIK1L	0.036195833	0.052639443	0.07894736842105263	0.018083902	0.043478260869565216	-1.5362206	0.76845056	0
FAM110D	0.11080381	0.11624495	0.14473684210526316	0.10481059	0.11594202898550725	-0.14924832	0.08504306	0
C1orf232	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL391650.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
ZNF593	0.17562822	0.18780397	0.27631578947368424	0.16221778	0.2028985507246377	-0.21117446	0.1870048	0
CNKSR1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
CATSPER4	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
CEP85	0.01759428	0.017756646	0.02631578947368421	0.017415438	0.028985507246376812	-0.027834142	0.0065800576	0
SH3BGRL3	2.000179	1.9811116	0.9605263157894737	2.021181	0.927536231884058	0.028886922	0.13292272	0
UBXN11	0.019841226	0.029573902	0.039473684210526314	0.009121281	0.014492753623188406	-1.6861556	0.5355522	0
CD52	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
CRYBG2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
ZNF683	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LIN28A	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
DHDDS	0.15887576	0.15365513	0.21052631578947367	0.16462606	0.18840579710144928	0.09943434	0.06831293	0
AL513365.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
HMGN2	0.6870856	0.5875053	0.5921052631578947	0.79676855	0.7246376811594203	0.43949437	1.5295784	0
RPS6KA1	0.13611159	0.18767832	0.2894736842105263	0.07931384	0.11594202898550725	-1.2415682	1.6598328	0
