gene	mean	EC_2_mean	EC_2_positive_frac	EC_3_mean	EC_3_positive_frac	log2FC	-log10 p-val	is_significant
SRBD1	0.1171493	0.1316572	0.18498023715415018	0.096405506	0.12768361581920903	-0.44919863	2.4363036	0
PRKCE	0.09475009	0.094653375	0.1383399209486166	0.09488277	0.12316384180790961	0.0034885744	0.00702854	0
U51244.1	0.00022591755	0.00038395895	0.0007905138339920949	1.0477379e-09	0.0	-2.2748697	0.49826166	0
AC017006.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC017006.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
EPAS1	0.63263637	0.5751231	0.6094861660079052	0.7148387	0.6463276836158192	0.3136979	7.3733954	0
LINC01820	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC02583	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
TMEM247	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
ATP6V1E2	0.019134251	0.01742839	0.028458498023715414	0.021573355	0.02598870056497175	0.30622903	0.33922532	0
AC018682.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
RHOQ	0.36677647	0.40665823	0.4758893280632411	0.3097565	0.3593220338983051	-0.39257136	5.8666315	0
AC018682.1	0.0024644535	0.0011118128	0.0015810276679841897	0.004397803	0.004519774011299435	1.8920537	0.7840377	0
PIGF	0.23176429	0.23197795	0.29802371541501976	0.23146662	0.2847457627118644	-0.0031821763	0.010500531	0
CRIPT	0.25346905	0.2843019	0.35810276679841896	0.20940079	0.2497175141242938	-0.4409754	4.74398	0
LINC01118	0.0023100718	0.0022212432	0.0031620553359683794	0.0024370768	0.003389830508474576	0.12826939	0.04314594	0
SOCS5	0.120580226	0.13186902	0.18893280632411066	0.10443825	0.14124293785310735	-0.33616832	1.6314226	0
LINC01119	0.0035984847	0.003691757	0.005533596837944664	0.0034649908	0.005649717514124294	-0.08896823	0.038272362	0
AC016722.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC016722.2	0.0006476971	0.0004345504	0.0007905138339920949	0.0009523555	0.0011299435028248588	0.9772243	0.20695928	0
MCFD2	0.81296295	0.70137364	0.7027667984189724	0.9724609	0.7819209039548023	0.47139975	24.146584	0
TTC7A	0.00902449	0.011527032	0.018972332015810278	0.0054476117	0.007909604519774011	-1.0675442	1.1022898	0
AC093732.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC093732.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
STPG4	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC073283.1	0.0003515181	0.0005974302	0.0007905138339920949	1.0477379e-09	0.0	-2.8020337	0.4982638	0
CALM2	1.1814187	1.3430532	0.9209486166007905	0.9503901	0.7875706214689265	-0.49888042	44.55244	0
EPCAM-DT	0.028358534	0.03313523	0.04743083003952569	0.021531552	0.02598870056497175	-0.61957633	1.1461267	0
AC073283.2	0.00034698754	0.00058973004	0.0007905138339920949	1.0477379e-09	0.0	-2.7860167	0.49826324	0
EPCAM	0.01988566	0.02426503	0.03557312252964427	0.013626753	0.0192090395480226	-0.82782155	1.4297343	0
MSH2	0.15644549	0.18098922	0.24743083003952568	0.12136608	0.15819209039548024	-0.57614714	4.779718	0
KCNK12	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC138655.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
MSH6	0.2267369	0.2376419	0.3059288537549407	0.21115647	0.24745762711864408	-0.17040065	0.9045554	0
FBXO11	0.342859	0.32781637	0.4007905138339921	0.36435345	0.4011299435028249	0.15240663	1.1428177	0
AC079807.1	0.0036694633	0.0020104742	0.0023715415019762848	0.006040743	0.006779661016949152	1.5408459	0.85179245	0
AC092650.1	0.00040214026	0.0006834679	0.0007905138339920949	1.0477379e-09	0.0	-2.9698591	0.49825734	0
FOXN2	0.09684632	0.08557421	0.11936758893280633	0.11295419	0.14463276836158193	0.40008163	1.6491491	0
AC093635.1	0.0069036125	0.00745176	0.011857707509881422	0.006119964	0.007909604519774011	-0.2799067	0.17857645	0
