id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	CM|CM	CM|EC	CM|EP	CM|FB	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|UN
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.52																									
CPI-SS021F26C73	SCT_SCTR	simple:P09683	simple:P47872	SCT	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Secretin	1.52																									
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	1.52																									
CPI-SS040DBE4BA	WNT2B_CER1	simple:Q93097	simple:O95813	WNT2B	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS0568E47E6	WNT4_CER1	simple:P56705	simple:O95813	WNT4	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS00C692486	WNT9A_CER1	simple:O14904	simple:O95813	WNT9A	CER1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS0D9B4021E	NPY_NPY5R	simple:P01303	simple:Q15761	NPY	NPY5R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	1.52																									
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.52																									
CPI-SS07D508428	SIGLEC15_CD44	simple:Q6ZMC9	simple:P16070	SIGLEC15	CD44	False	False	True	curated	False	Ligand-Receptor		1.52																									
