gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	UN
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0E7D5974D	TNFRSF1B	0.001	0.115	0.0	0.055	0.015
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.414	1.614	0.048	0.138	0.194
CER1	O95813	False	CER1_HUMAN		CPI-SS040DBE4BA	CER1	0.002	0.0	0.0	0.001	0.005
CER1	O95813	False	CER1_HUMAN		CPI-SS0568E47E6	CER1	0.002	0.0	0.0	0.001	0.005
CER1	O95813	False	CER1_HUMAN		CPI-SS00C692486	CER1	0.002	0.0	0.0	0.001	0.005
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.24	0.009	0.014	0.063	0.133
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.24	0.009	0.014	0.063	0.133
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.24	0.009	0.014	0.063	0.133
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	1.512	0.658	0.165	1.28	0.551
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	1.512	0.658	0.165	1.28	0.551
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	1.512	0.658	0.165	1.28	0.551
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.001	0.0	0.0	0.0	0.005
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.001	0.0	0.0	0.0	0.005
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.001	0.0	0.0	0.0	0.005
CD44	P16070	False	CD44_HUMAN		CPI-SS07D508428	CD44	0.022	0.345	0.004	0.278	0.022
