gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
LINC02676	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AC044784.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
LINC00709	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL138773.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
LINC02663	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
LINC02670	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL354916.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL583859.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
CELF2-DT	0.00023258841	1.2296368e-09	0.0	0.00040951336	0.00041610319359201083	2.3491023	1.2915772	0
AL583859.3	0.00016542728	0.00011364587	0.0002735229759299781	0.00020479245	0.00020805159679600541	0.51260585	0.2338179	0
SFTA1P	0.0004816372	0.0008032361	0.0010940919037199124	0.00023685436	0.00041610319359201083	-1.422978	0.9867045	0
CELF2	0.6427451	0.697057	0.6301969365426696	0.60145134	0.49797149693123893	-0.21279578	21.31371	0
LINC00710	0.00013143496	5.7995036e-05	0.00013676148796498905	0.00018732439	0.00020805159679600541	0.86280125	0.4292879	0
AL136369.2	3.770303e-05	1.2296368e-09	0.0	6.638685e-05	0.00010402579839800271	0.73452365	0.49852303	0
AL136369.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL162408.1	0.00018450475	0.00024049645	0.00041028446389496716	0.00014180323	0.00010402579839800271	-0.4938062	0.20218156	0
CELF2-AS2	0.0038805187	0.004783003	0.004649890590809628	0.0031944318	0.0027046707583480703	-0.567739	0.7278362	0
AL136320.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
CELF2-AS1	0.00091983663	0.0005926786	0.0006838074398249453	0.0011687233	0.0011442837823780298	0.87311935	0.6669214	0
USP6NL	0.10803344	0.111037515	0.1426422319474836	0.105737515	0.1114116300842609	-0.070494786	0.5870217	0
AL512631.2	4.756728e-05	0.00011016281	0.00013676148796498905	4.9112714e-09	0.0	-1.0714365	0.49848148	0
AL512631.1	6.090191e-05	1.2296368e-09	0.0	0.0001072916	0.00010402579839800271	1.051644	0.49855098	0
ECHDC3	0.00093622674	0.00042080838	0.0005470459518599562	0.0013285356	0.0013523353791740351	1.4557124	1.4102659	0
PROSER2	0.033556055	0.035831608	0.04827680525164114	0.031828567	0.034432539269738896	-0.17040569	0.8792665	0
PROSER2-AS1	0.0006127721	0.000884089	0.0010940919037199124	0.00040627597	0.00041610319359201083	-0.95886475	0.6829977	0
UPF2	0.1851754	0.18307152	0.21430525164113787	0.1868325	0.18287735358368876	0.02932228	0.26126838	0
DHTKD1	0.12925431	0.1402741	0.1739606126914661	0.120876044	0.12753562883595132	-0.21455532	3.7954583	0
SEC61A2	0.15635423	0.17479083	0.21553610503282275	0.14236625	0.14761260792676584	-0.2958345	8.139585	0
NUDT5	0.5316492	0.61697876	0.587390590809628	0.46677426	0.4179756579631749	-0.4024207	44.55244	0
CDC123	0.4258612	0.49682173	0.5157275711159738	0.37192962	0.34942265681889106	-0.41760117	44.55244	0
AL512770.1	0.0037398946	0.0040778313	0.004786652078774617	0.0034833432	0.003536877145532092	-0.22144797	0.24035041	0
CAMK1D	0.057068024	0.083347484	0.10421225382932166	0.03705752	0.04057006137522105	-1.1672144	36.56043	1
AL731559.1	0.00078247295	0.0007696105	0.0006838074398249453	0.0007921862	0.0007281805887860189	0.036975443	0.015264936	0
AL353586.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
CCDC3	0.016783306	0.020817062	0.02338621444201313	0.013711204	0.015291792364506398	-0.5988412	2.9077234	0
OPTN	0.33215085	0.38398895	0.4214989059080963	0.29277995	0.27910121710184127	-0.391131	30.852713	0
MCM10	0.01773656	0.023154259	0.03090809628008753	0.013613428	0.016748153542078436	-0.76190567	5.7667255	1
UCMA	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
PHYH	0.34428155	0.35668194	0.3964715536105033	0.33490053	0.3167585561219182	-0.09087921	2.2759438	0
SEPHS1	0.204634	0.21831957	0.26353938730853393	0.19429325	0.19733693956101114	-0.16812405	3.891606	0
AL355870.2	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL355870.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
