gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
AL645608.8	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
RNF223	0.00014463029	0.00023803767	0.0002735229759299781	-5.4351403e-09	0.0	-1.7572625	0.80329674	0
C1orf159	0.016662175	0.016488107	0.020924507658643326	0.016924893	0.019707565162110616	0.03749652	0.07024364	0
AL390719.3	0.00016104887	0.00018727002	0.0002735229759299781	0.00012053259	0.00021190930281839374	-0.38141567	0.14908107	0
LINC01342	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL390719.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
TTLL10-AS1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
TTLL10	0.00029318998	0.00035639753	0.0002735229759299781	0.00019528117	0.00021190930281839374	-0.62820154	0.19707899	0
TNFRSF18	0.000312946	4.3316344e-05	0.00013676148796498905	0.0007307059	0.0006357279084551812	2.5351348	0.9647172	0
TNFRSF4	0.00026424212	7.538527e-05	0.00013676148796498905	0.00055689976	0.0010595465140919686	1.9051456	1.146825	0
SDF4	0.4859863	0.5042778	0.5220185995623632	0.45770648	0.4293282475100657	-0.139767	5.0705514	0
B3GALT6	0.16811714	0.176714	0.22141684901531727	0.15478185	0.16656071201525746	-0.19106449	2.9331987	0
C1QTNF12	0.0038854892	0.0037704583	0.005060175054704595	0.004064399	0.004662004662004662	0.10560372	0.09871649	0
AL162741.1	0.0005286724	0.0003037751	0.0005470459518599562	0.00087703246	0.000847637211273575	1.2748545	0.57323337	0
UBE2J2	0.2892503	0.29749358	0.3472374179431072	0.27655846	0.2805679169315533	-0.10523736	1.8201394	0
LINC01786	0.0010672612	0.001094693	0.0013676148796498905	0.0010246036	0.0012714558169103624	-0.08722329	0.04559123	0
SCNN1D	0.0039390954	0.0040434394	0.005196936542669584	0.0037781005	0.004026276753549481	-0.095478565	0.08895084	0
ACAP3	0.062021796	0.06461341	0.08342450765864333	0.05799122	0.0644204280567917	-0.1557445	0.8859411	0
PUSL1	0.086824596	0.08718149	0.11433260393873085	0.086250775	0.09747827929646112	-0.015466631	0.068767965	0
INTS11	0.14424473	0.15448143	0.18804704595185995	0.12836516	0.13795295613477432	-0.26698986	4.3117595	0
AL139287.1	0.00010383348	0.000120246164	0.00013676148796498905	7.850586e-05	0.00021190930281839374	-0.30314547	0.112778574	0
CPTP	0.07724378	0.08235906	0.10462253829321663	0.0692977	0.07671116762025854	-0.24879012	2.228292	0
TAS1R3	0.00066149957	0.00032202475	0.0005470459518599562	0.0011874858	0.0010595465140919686	1.6091568	0.8124467	0
DVL1	0.053198654	0.054631747	0.07043216630196937	0.05097362	0.05763933036660309	-0.09979956	0.4438178	0
MXRA8	0.029413331	0.029737795	0.037882932166301966	0.028914738	0.031150667514303877	-0.040355016	0.10242074	0
AURKAIP1	1.0491269	1.0638719	0.8107221006564551	1.0262903	0.7488874761602035	-0.051880557	2.5986786	0
CCNL2	0.23361214	0.2384393	0.2778993435448578	0.22619352	0.23013350286077558	-0.07603179	0.8692301	0
MRPL20-AS1	0.08971243	0.09231568	0.11843544857768053	0.08565736	0.09218054672600128	-0.10787718	0.7125213	0
MRPL20	1.09327	1.1048335	0.8268599562363238	1.0753623	0.7705022250476796	-0.039002575	1.7352395	0
AL391244.2	0.0036270786	0.0040312517	0.004923413566739606	0.0030016683	0.003814367450731087	-0.4135345	0.50658023	0
ANKRD65	0.0010478176	0.00073664315	0.0008205689277899343	0.0015299122	0.0014833651197287562	0.9621099	0.62979746	0
AL391244.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
TMEM88B	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
LINC01770	0.0078308955	0.007722825	0.009436542669584245	0.007998727	0.008476372112735749	0.050005544	0.06331257	0
VWA1	0.09732425	0.10352158	0.12896608315098468	0.087700605	0.09324009324009325	-0.23902166	2.5094965	0
ATAD3C	0.0018741811	0.0016242513	0.0020514223194748357	0.002261924	0.002331002331002331	0.45399275	0.35920173	0
ATAD3B	0.029474773	0.032200627	0.04212253829321663	0.025256312	0.02903157448611994	-0.34921733	1.7202739	0
ATAD3A	0.09785171	0.104433194	0.1363512035010941	0.08763292	0.09853782581055308	-0.25277096	2.8909667	0
TMEM240	0.0854917	0.08074525	0.1012035010940919	0.09282468	0.09896164441618988	0.2008989	1.697245	0
SSU72	0.727745	0.74322885	0.6827133479212254	0.7037789	0.5977961432506887	-0.078673325	3.133653	0
AL645728.1	0.009984792	0.011150512	0.013949671772428883	0.008178815	0.00974782792964611	-0.44249445	1.0627867	0
FNDC10	0.1439613	0.16146542	0.19091903719912473	0.11681889	0.12354312354312354	-0.46661037	11.856167	0
AL691432.4	0.020059263	0.0222486	0.028172866520787748	0.016659675	0.018012290739563466	-0.41519022	1.6888592	0
AL691432.2	0.09529272	0.09292807	0.11952954048140044	0.09893484	0.10425937698664971	0.0902701	0.57538056	0
MIB2	0.19040765	0.19186953	0.2274343544857768	0.18815884	0.19432083068446704	-0.028159685	0.21023038	0
MMP23B	0.26981622	0.24636646	0.2679157549234136	0.30621627	0.28417037507946596	0.31363067	10.143674	0
CDK11B	0.17318507	0.16465092	0.2037746170678337	0.18640116	0.1930493748675567	0.17889808	2.6058192	0
FO704657.1	0.0022886805	0.0021889012	0.0031455142231947486	0.0024441287	0.003178639542275906	0.1525165	0.12416978	0
SLC35E2B	0.061156005	0.062807396	0.07891137855579869	0.058584087	0.0644204280567917	-0.10026029	0.47311094	0
CDK11A	0.10174797	0.09345194	0.11816192560175055	0.1145811	0.12396694214876033	0.2937882	3.6087806	0
SLC35E2A	0.040868636	0.042540904	0.05443107221006564	0.038287695	0.04216995126086035	-0.15159406	0.62471986	0
NADK	0.07809692	0.082524374	0.10325492341356673	0.07121692	0.080737444373808	-0.21232308	1.7416931	0
GNB1	0.6717795	0.69157267	0.6388129102844639	0.64114344	0.5499046408137317	-0.10921732	4.8797956	0
AL109917.1	0.008335214	0.00875881	0.011077680525164113	0.007679155	0.007840644204280567	-0.18749951	0.28905034	0
CALML6	0.00038368715	0.0001492647	0.0002735229759299781	0.0007469784	0.0004238186056367875	1.7646465	0.49716017	0
TMEM52	0.009323923	0.011546511	0.014223194748358862	0.005880647	0.0067810976901886	-0.96152437	3.228724	0
CFAP74	0.0016533508	0.0015459856	0.002188183807439825	0.0018203508	0.0021190930281839372	0.22241817	0.15128274	0
